Name,Position,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Rank 9,Rank 10
Rubén Yáñez,GK,Fernando Pacheco,Rubén Blanco,Marko Dmitrović,Jessy Moulin,Paul Bernardoni,Roberto,Joel Robles,Mathew Ryan,Jean-Louis Leca,Bartłomiej Drągowski
Aleix Vidal,FB,Matt Doherty,Luke Shaw,Timothy Castagne,Kieran Trippier,Andoni Gorosabel,Cédric Soares,Domagoj Bradarić,Caio Henrique Oliveira Silva,Mitchel Bakker,Marcos Acuña
Filip Malbašić,FW,Jordan Ayew,Lucas Boyé,Oliver Burke,Sergi Guardiola,Josh Sargent,Jay Rodriguez,Raúl García,Shon Weissman,Roger Martí,Oliver McBurnie
Jasper Cillessen,GK,Predrag Rajković,Jaume Doménech,Rafał Gikiewicz,Sam Johnstone,Emil Audero,Alexandre Oukidja,Jordi Masip,Emiliano Martínez,Jordan Pickford,Jiří Pavlenka
Youssef En-Nesyri,FW,Patrick Bamford,Tammy Abraham,Ante Budimir,Olivier Giroud,Simone Zaza,Dominic Calvert-Lewin,Rafa Mir,Giovanni Simeone,Dušan Vlahović,Kevin Lasagna
Óscar Mingueza,CB,Emre Can,Vlad Chiricheș,César Azpilicueta,David Alaba,Gianluca Mancini,Fabinho,Mario Hermoso,Alessandro Bastoni,Francesco Acerbi,Manuel Akanji
Óscar Mingueza,FB,Andrea Conti,Colin Dagba,Mateu Morey,Wendell,César Azpilicueta,Ola Aina,Jeremy Toljan,Birger Meling,Danilo,Rubén Peña
Manu García,MF,Sergio Álvarez,Oier Sanjurjo,Rani Khedira,Nemanja Maksimović,Isaac Hayden,Yan Brice Eteki,Valon Behrami,Fede San Emeterio,Artur Ioniță,Jon Moncayola
Rafa Soares,FB,Matt Targett,Lucas Olaza,Raphael Framberger,Charlie Taylor,Conor Townsend,Jorge Miramón,Matthew Lowton,Sébastien Corchia,Bastian Oczipka,Juan Cruz Armada
Sergio Ramos,CB,Marquinhos,Guillermo Maripán,Jules Koundé,Niklas Süle,Axel Disasi,Lewis Dunk,Willi Orban,Nayef Aguerd,Marcel Halstenberg,Matthijs de Ligt
Denis Vavro,CB,Iñigo Martínez,Joachim Andersen,Timothée Kolodziejczak,Lyanco,Andrea Masiello,Jorge Pulido,Jérémy Morel,Tosin Adarabioyo,Stefan Savić,Toby Alderweireld
Federico Valverde,MF,Tanguy Ndombele,Nicolò Barella,Franck Kessié,Florian Neuhaus,Pedri,Seko Fofana,Adrien Rabiot,Curtis Jones,Miha Zajc,Imran Louza
Carlos Bacca,FW,Gianluca Lapadula,Jamie Vardy,Alexander Isak,Terem Moffi,Erling Haaland,Burak Yılmaz,Paco Alcácer,Che Adams,Kevin Lasagna,Borja Mayoral
Sergio León,FW,Mama Samba Baldé,Josh Maja,Anthony Lozano,Moussa Koné,Borja Iglesias,Boulaye Dia,Jaime Mata,Antonio Sanabria,Ángel Rodríguez,Roberto Soldado
Antonio Sanabria,FW,Luuk de Jong,Alexandre Lacazette,Mama Samba Baldé,Krzysztof Piątek,Josh Maja,Danny Welbeck,Santi Mina,Moussa Koné,Eldor Shomurodov,Giovanni Simeone
Jorge Pombo,AM,Daniel Podence,Jonathan Ikone,Rony Lopes,Eric Junior Dina Ebimbe,Samu Castillejo,Daniel James,Nathanael Mbuku,Anwar El Ghazi,Enis Bardhi,Takashi Inui
Denis Cheryshev,AM,Jorge de Frutos,Niclas Eliasson,Antonio Puertas,Renato Steffen,Mikel Oyarzabal,Theo Walcott,Martin Terrier,Rubén García,Jack Harrison,Denis Bouanga
Roger Martí,FW,Kévin Gameiro,Che Adams,Kevin Volland,Habib Diallo,Krzysztof Piątek,José Luis Morales,Santi Mina,Shon Weissman,Jay Rodriguez,Fabio Quagliarella
Raúl Guti,MF,Artur Ioniță,Jaïro Riedewald,Tolgay Arslan,Rodrigo Battaglia,Ivan Ilić,Kevin Möhwald,Yannick Cahuzac,Tomás Rincón,Moussa Sissoko,Mario Lemina
Santi Mina,FW,Krzysztof Piątek,Eldor Shomurodov,Antonio Sanabria,Luuk de Jong,Fabian Klos,Steve Mounié,Roberto Soldado,Raúl García,Roger Martí,Sergi Guardiola
Ansu Fati,AM,Christian Pulisic,Kingsley Coman,Riyad Mahrez,Leroy Sané,Ousmane Dembélé,Carles Pérez,Serge Gnabry,Phil Foden,Hirving Lozano,Raheem Sterling
Manu Vallejo,FW,Alexandre Lacazette,Giovanni Simeone,José Luis Morales,Felipe Caicedo,Jonathan David,Pierre-Emerick Aubameyang,Antonio Sanabria,Moussa Koné,Jordan Ayew,Eldor Shomurodov
Rafinha,MF,Curtis Jones,Kerem Demirbay,Óliver Torres,Pedri,Marco Verratti,Mason Mount,Toni Kroos,Bernardo Silva,Bruno Guimarães,Nicolò Barella
Rafinha,AM,Denis Suárez,Julian Brandt,Romain Faivre,Mason Mount,Mikkel Damsgaard,Jean-Paul Boëtius,Alexis Saelemaekers,Rubén Rochina,Manu Trigueros,Martin Ødegaard
Emre Mor,AM,Yunus Musah,Eric Junior Dina Ebimbe,Nathanael Mbuku,Takashi Inui,Theo Walcott,Édgar Méndez,Tete Morente,Aitor Ruibal,Bobby Reid,Ander Barrenetxea
Ramon Azeez,MF,Rani Khedira,Artur Ioniță,Jack Cork,Josh Brownhill,Yannick Cahuzac,Tobias Strobl,Papakouli Diop,Rodrigo Battaglia,Ibrahim Amadou,Yan Brice Eteki
Pedri,MF,Mason Mount,Óliver Torres,Curtis Jones,Rafinha,Federico Valverde,Bernardo Silva,Tanguy Ndombele,Jude Bellingham,Lorenzo Pellegrini,Nicolò Barella
Pedri,AM,Alexis Saelemaekers,Julian Brandt,Mikkel Damsgaard,Mason Mount,Ayoze Pérez,Sofiane Diop,Ridle Baku,Denis Suárez,Iker Muniain,Thorgan Hazard
Lucas Torró,MF,Papakouli Diop,Josh Brownhill,Lucas Tousart,Grischa Prömel,Nemanja Maksimović,Mikel Vesga,Okay Yokuşlu,Jean-Eudes Aholou,Uroš Račić,Tomáš Souček
Dani Gómez,FW,Oliver Burke,Lois Diony,Kévin Gameiro,Kasper Dolberg,Sergi Guardiola,Goran Pandev,Anthony Lozano,Boulaye Dia,Shon Weissman,Ángel Rodríguez
Philippe Coutinho,AM,Lionel Messi,Raheem Sterling,Ousmane Dembélé,Riyad Mahrez,Neymar,Lorenzo Insigne,Mohamed Salah,Marcus Rashford,Phil Foden,Jadon Sancho
Claudio Bravo,GK,Eiji Kawashima,Kasper Schmeichel,Łukasz Fabiański,Emiliano Martínez,Rui Patrício,Hugo Lloris,Robert Sánchez,David de Gea,Andreas Luthe,Mattia Perin
Alberto Moreno,FB,Jordan Lotomba,Fabio Depaoli,Bartosz Bereszyński,Kyle Walker-Peters,Ryan Bertrand,Aihen Muñoz,George Baldock,Ben Davies,Mario Gaspar,Mitchell Dijks
Denis Suárez,MF,Răzvan Marin,Roque Mesa,Óliver Torres,Valon Berisha,Joan Jordán,Marco Verratti,Yacine Adli,Dani Ceballos,Nicolò Barella,Mateusz Klich
Denis Suárez,AM,Manu Trigueros,Stuart Armstrong,Bersant Celina,Joaquín,Andros Townsend,Eberechi Eze,Martin Ødegaard,Jean-Paul Boëtius,Alex Iwobi,Ridle Baku
Miguel Atienza,MF,Isaac Hayden,Ibrahima Sissoko,Ibrahim Amadou,Sergio Álvarez,Josh Brownhill,Tobias Strobl,Nemanja Maksimović,Artur Ioniță,Carlos Gruezo,Valon Behrami
Aridane Hernández,CB,Felipe,Joakim Nilsson,Paulo Oliveira,Keven Schlotterbeck,Erick Cabaco,Djené,Bruno González,Ciaran Clark,Ivan Radovanović,Yeray Álvarez
Takefusa Kubo,AM,Ademola Lookman,Yannick Carrasco,Nathan Redmond,Nicola Sansone,Gianluca Caprari,Bryan,Rodrygo,Samuel Chukwueze,Alberto Perea,Romain Faivre
Álex Moreno,FB,Jérôme Roussillon,Pervis Estupiñán,Tariq Lamptey,Sergio Reguilón,Arkadiusz Reca,Enda Stevens,Danny da Costa,Nélson Semedo,Renan Lodi,Zeki Çelik
David Timor,CB,Martín Cáceres,Iñigo Martínez,Edoardo Goldaniga,Joseph Aidoo,Romain Saïss,Moussa Niakhate,Aritz Elustondo,Danilo Larangeira,Domingos Duarte,Pedro Bigas
David Timor,MF,Papakouli Diop,Uroš Račić,Rani Khedira,Dani García,José Mari,Yannick Cahuzac,Luka Milivojević,Jon Moncayola,Tomás Rincón,Rodrigo Battaglia
José Fontán,CB,Paweł Dawidowicz,Omar Alderete,Jerry St. Juste,Alexander Djiku,Jorge Pulido,Rafael Czichos,Nicolas Pallois,Ozan Kabak,Stefan Posch,Romain Saïss
Thibaut Courtois,GK,Yassine Bounou,Edouard Mendy,Mike Maignan,David Ospina,Illan Meslier,Sergio Asenjo,Alisson,Ederson,Bernd Leno,Emiliano Martínez
Joseph Aidoo,CB,Sebastiano Luperto,Rafael Czichos,Dylan Bronn,Ethan Ampadu,Amos Pieper,Ozan Kabak,Iñigo Martínez,Alexander Djiku,Julien Laporte,Diego Godín
Óscar Rodríguez Arnaiz,AM,Dani Olmo,Filip Đuričić,Federico Bernardeschi,Jonathan Bamba,Romain Faivre,Mason Mount,Hamed Junior Traorè,Rony Lopes,Nicola Sansone,Gio Reyna
Rubén Sobrino,FW,Lucas Boyé,Josh Sargent,Jordan Ayew,Joelinton,Sergi Guardiola,Ondrej Duda,David McGoldrick,Oliver Burke,Oliver McBurnie,Richarlison
Luis Milla,MF,Răzvan Marin,John Fleck,Alfred Duncan,Imran Louza,Niccolò Zanellato,Sandro Tonali,Maximilian Eggestein,Miha Zajc,Lukas Lerager,John McGinn
Raúl García,FB,Cédric Brunner,Aihen Muñoz,Rober Correa,Juan Cruz Armada,Nacho Vidal,Matthew Lowton,Mikel Balenziaga,Ximo Navarro,Damián Suárez,Charalambos Lykogiannis
Alex Morgan,FW,Valérie Gauvin,Danielle Carter,Lee Geum-min,Abigail Harrison,Jane Ross,Rianna Jarrett,Lauren Bruton,Emma Harries,Rachel Williams,Shania Hayles
Borja Sainz,AM,Trézéguet,Samu Castillejo,Édgar Méndez,Theo Walcott,Stephy Mavididi,Pablo Fornals,Bobby Reid,Ritsu Doan,Nathanael Mbuku,Renaud Ripart
Frenkie de Jong,CB,Marcel Halstenberg,Bryan Cristante,David Alaba,Alessandro Bastoni,Emre Can,Sergio Ramos,Niklas Süle,Jules Koundé,Rafael Tolói,Óscar Mingueza
Frenkie de Jong,MF,İlkay Gündoğan,Curtis Jones,Luka Modrić,Seko Fofana,David Silva,Joan Jordán,Sergio Canales,Fabián Ruiz Peña,Bernardo Silva,Ivan Rakitić
Portu,AM,José Luis Morales,Kevin Volland,Robin Quaison,João Pedro,Jarrod Bowen,Pierre-Emerick Aubameyang,Son Heung-min,Yoane Wissa,Ferrán Torres,Martin Terrier
Gonzalo Verdú,CB,Maya Yoshida,Néstor Araujo,Víctor Laguardia,Chris Smalling,Issa Diop,Sergio Postigo,Duje Ćaleta-Car,Ben Godfrey,Ivan Radovanović,Miloš Veljković
Álvaro Odriozola,FB,Davide Zappacosta,Sergiño Dest,Manuel Lazzari,Bruno Peres,Tariq Lamptey,Matteo Darmian,Colin Dagba,Jeremy Toljan,Timothy Castagne,Hans Hateboer
Marc Cucurella,AM,Daniel Caligiuri,Renaud Ripart,Óscar Plano,Josh Brownhill,Allan Nyom,Jean-Paul Boëtius,Rubén García,Pablo Fornals,Yunus Musah,Aitor Ruibal
Theo Walcott,AM,Bobby Reid,Nathanael Mbuku,Édgar Méndez,Takashi Inui,Moses Simon,Jakub Jankto,Dodi Lukebakio,Antonio Puertas,Jarrod Bowen,Portu
Rubén Peña,FB,Ander Capa,Mert Müldür,Ryan Sessegnon,Thomas Delaine,Sergio Reguilón,Luke Thomas,Colin Dagba,Marvin Zeegelaar,Benjamin Mendy,Hassane Kamara
Rubén Duarte,FB,Juan Miranda,Iago,Conor Townsend,Vladimír Coufal,Nacho Vidal,Matthew Lowton,Hugo Mallo,Sébastien Corchia,Lorenzo De Silvestri,Theodor Gebre Selassie
Mikel Balenziaga,FB,Juan Cruz Armada,Yuto Nagatomo,Charlie Taylor,Carlos Neva,Cédric Brunner,Ximo Navarro,Joel Ward,Aihen Muñoz,Dimitri Foulquier,Anderson Lucoqui
Ander Barrenetxea,AM,Ritsu Doan,Aitor Ruibal,Mikkel Damsgaard,Eric Junior Dina Ebimbe,Samu Castillejo,Nathan Redmond,Ludovic Blas,Sofiane Diop,Bryan,Alberto Perea
Kieran Trippier,FB,Matt Doherty,Carlos Clerc,Caio Henrique Oliveira Silva,Miguel Trauco,Luke Shaw,Domagoj Bradarić,Djibril Sidibé,Andoni Gorosabel,Mitchel Bakker,Matt Targett
Aihen Muñoz,FB,Ben Davies,Cédric Brunner,Hiroki Sakai,Ryan Bertrand,Charlie Taylor,Mikel Balenziaga,Dimitri Foulquier,Aarón Martín,Fouad Chafik,Loris Benito
Kike Pérez,MF,Nahitan Nández,Edu Expósito,Andre-Frank Zambo Anguissa,Roque Mesa,Adrien Tameze,Habib Maïga,Jaime Seoane,Danny Latza,Juraj Kucka,Suat Serdar
Dani García,MF,Iván Marcone,Tomás Pina Isla,Jack Cork,Pedro Mosquera,Étienne Capoue,Moussa Sissoko,Nemanja Gudelj,Tom Davies,Nemanja Radoja,Fabinho
Jony,FB,Darko Lazović,Christian Günter,Leonardo Spinazzola,Cristian Ansaldi,José Luis Gayà,Angeliño,Cristiano Biraghi,Danny da Costa,Marius Wolf,Manuel Lazzari
Jony,AM,David Ferreiro,Bersant Celina,Dwight McNeil,Roberto Torres,Jon Morcillo,Jean-Paul Boëtius,Fabián Orellana,Joaquín,Rubén García,Eberechi Eze
Junior Firpo,FB,Raphaël Guerreiro,Sergiño Dest,Theo Hernández,Leo Dubois,Achraf Hakimi,Jordi Alba,Alphonso Davies,Giovanni Di Lorenzo,Andrew Robertson,Angeliño
Éder Militão,CB,Maxence Lacroix,Adama Soumaoro,Julian Chabot,Yunis Abdelhamid,Roger Ibanez,Amos Pieper,Ben Godfrey,Simon Kjær,Chris Smalling,Nico Elvedi
Néstor Araujo,CB,Duje Ćaleta-Car,Paul Baysse,Raúl Albiol,Andrea Masiello,Gonzalo Verdú,Miloš Veljković,Victor Lindelöf,Rúben Vezo,Andreas Christensen,Stefan Savić
Edu Expósito,MF,John McGinn,Nahitan Nández,Nahuel Estévez,Suat Serdar,Abdoulaye Touré,Bryan Dabo,Imran Louza,Mattias Svanberg,Orel Mangala,Mikel Rico
Nacho,CB,Samir Santos,Manuel Akanji,Milan Škriniar,Niklas Süle,Gianluca Mancini,Rodrigo Becão,Óscar Mingueza,Diego Llorente,Armando Izzo,Rafael Tolói
Pere Pons,MF,Darko Brašanac,Karol Linetty,Jaime Seoane,Saša Lukić,Giulio Maggiore,Elvis Rexhbeçaj,Grischa Prömel,Brais Méndez,Mauro Arambarri,Artur Ioniță
Joan Jordán,MF,Manu Trigueros,Răzvan Marin,Óliver Torres,Nicolò Barella,Valon Berisha,Luka Modrić,Daniel Parejo,Roque Mesa,Mateusz Klich,Mateo Kovačić
Roberto López,AM,Lars Stindl,Franck Honorat,Filip Đuričić,Roberto Soriano,Vincenzo Grifo,Dani Olmo,Josip Brekalo,Lorenzo Pellegrini,Gaël Kakuta,Matheus Pereira
Ronald Araújo,CB,Nikola Milenković,Matthijs de Ligt,Éder Militão,Antonio Rüdiger,Alessio Romagnoli,Nico Elvedi,Adama Soumaoro,Rob Holding,Harold Moukoudi,Vlad Chiricheș
Jairo Izquierdo,AM,Allan Nyom,Luis Rioja,Jóhann Berg Guðmundsson,Salvi,Yunus Musah,Tete Morente,Josh Brownhill,Takashi Inui,Marc Cucurella,Dwight McNeil
Deyverson,FW,Oliver McBurnie,Joselu,Fabian Klos,Raúl García,Sergi Enrich,Josh Sargent,Andreas Cornelius,Yussuf Poulsen,Ermedin Demirović,Lucas Höler
Aarón Martín,FB,Dimitri Foulquier,George Baldock,Marvin Plattenhardt,Bastian Oczipka,Tommaso Augello,Thomas Foket,Mitchell Dijks,Aihen Muñoz,Riccardo Marchizza,Jérôme Roussillon
José Ángel,FB,Noah Katterbach,Matthew Lowton,Fouad Chafik,Ben Davies,Rober Correa,Bastian Oczipka,Loris Benito,Charlie Taylor,Aihen Muñoz,Joël Veltman
Andrés Fernández,GK,Gautier Larsonneur,Marwin Hitz,Robin Zentner,Steve Mandanda,Walter Benítez,Benoît Costil,Sergio Asenjo,Juan Musso,Andreas Luthe,Pepe Reina
Sergi Guardiola,FW,Josh Sargent,Oliver Burke,Oliver McBurnie,Joelinton,Enes Ünal,Lucas Boyé,Lois Diony,Eldor Shomurodov,David McGoldrick,Fabian Klos
Pere Milla,FW,Josh Sargent,Lucas Boyé,Jordan Ayew,Joelinton,Sergi Guardiola,Santi Mina,Eldor Shomurodov,Ondrej Duda,Jay Rodriguez,Antonio Sanabria
Pere Milla,AM,Édgar Méndez,Bobby Reid,Robin Quaison,Nathanael Mbuku,Salvi,Niclas Eliasson,Takashi Inui,Jóhann Berg Guðmundsson,Yunus Musah,Óscar Plano
Sergi Roberto,FB,Andrew Robertson,Jordi Alba,Leo Dubois,Mário Rui,Thomas Meunier,Bruno Peres,Raphaël Guerreiro,Ferland Mendy,Jesús Navas,Juan Cuadrado
Sergi Roberto,MF,Frenkie de Jong,Fabián Ruiz Peña,Mattéo Guendouzi,Kevin Kampl,Koke,Ivan Rakitić,Óliver Torres,Remo Freuler,Axel Witsel,Joan Jordán
Karim Rekik,FB,Lorenzo De Silvestri,Peter Pekarík,Dan Burn,Hugo Mallo,Bartosz Bereszyński,Takehiro Tomiyasu,Enda Stevens,Ben Davies,Jordan Lotomba,Marvin Zeegelaar
Carlos Clerc,FB,Tommaso Augello,Vincent Le Goff,Kieran Trippier,Noah Katterbach,Dennis Appiah,Enda Stevens,Matt Targett,Stefan Lainer,Souleyman Doumbia,Jorge Miramón
Renato Tapia,MF,Isaac Hayden,Diadie Samassékou,Omar Mascarell,Walace,Wilfred Ndidi,Guido Rodríguez,Albin Ekdal,Marshall Munetsi,Luka Milivojević,Pedro Obiang
Guido Rodríguez,MF,Rubén Alcaraz,Thomas Delaney,Yves Bissouma,Renato Tapia,Mickael Malsa,Nicolas Höfler,Mahdi Camara,Mario Lemina,Albin Ekdal,Pedro Obiang
Martin Agirregabiria,FB,Matthew Lowton,Joel Ward,Federico Barba,Ximo Navarro,Loris Benito,Iago,Thierry Correia,Juan Cruz Armada,Ola Aina,Rafa Soares
Víctor Díaz,CB,Mason Holgate,Marco Friedl,Koffi Djidji,Amos Pieper,Lisandro Magallán,Ethan Ampadu,Marvin Friedrich,Roger Ibanez,Jerry St. Juste,Maxence Lacroix
Víctor Díaz,FB,Nacho Vidal,Charles Traore,Rubén Duarte,Tyrick Mitchell,Alfonso Espino,Isaac Carcelen,Joel Ward,Theodor Gebre Selassie,Raphael Framberger,Anderson Lucoqui
Javi Martínez,MF,Elvis Rexhbeçaj,Hernani,Danny Latza,Marcos Llorente,Davy Klaassen,Yangel Herrera,Morten Thorsby,Juraj Kucka,Weston McKennie,Giulio Maggiore
Álex Remiro,GK,Péter Gulácsi,Benjamin Lecomte,Pierluigi Gollini,Joel Robles,Anthony Lopes,Kasper Schmeichel,Ederson,Wojciech Szczęsny,Antonio Mirante,Unai Simón
Shon Weissman,FW,Kasper Dolberg,Borja Iglesias,Kévin Gameiro,Stefano Okaka,Roger Martí,Mattia Destro,Krzysztof Piątek,Moussa Koné,Maxi Gómez,Simeon Nwankwo
Sofian Chakla,CB,David García,Xabier Etxeita,Felipe,Erick Cabaco,Paulo Oliveira,Ciaran Clark,Germán Sánchez,Aridane Hernández,Óscar Duarte,Keven Schlotterbeck
Ander Capa,FB,Rubén Peña,Stefan Lainer,Hassane Kamara,Luke Thomas,Enda Stevens,Mert Müldür,Alejandro Pozo Pozo,Thierry Correia,James Justin,Sergio Reguilón
Anthony Lozano,FW,Jonathan Calleri,Callum Wilson,Maxi Gómez,Asier Villalibre,Álvaro Negredo,Mattia Destro,Habib Diallo,Florian Niederlechner,Enes Ünal,Antonio Sanabria
Jorge de Frutos,AM,Aitor Ruibal,Jack Harrison,Jean-Paul Boëtius,Mikkel Damsgaard,Zinedine Ferhat,Ángel Correa,Daichi Kamada,Niclas Eliasson,Lucas Moura,Mikel Oyarzabal
Gonzalo Melero,MF,Roberto Gagliardini,Ivan Rakitić,Jasmin Kurtić,Antonín Barák,Franck Kessié,Toma Bašić,Abdoulaye Touré,Stuart Dallas,Jordan Veretout,Georginio Wijnaldum
Nacho Vidal,FB,Isaac Carcelen,Anderson Lucoqui,Kingsley Ehizibue,Raphael Framberger,Matty Cash,Joel Ward,Alfonso Espino,Cédric Brunner,Mathías Olivera,Rober Correa
Loren Morón,FW,Sergi Guardiola,Josh Sargent,Anthony Lozano,Antonio Sanabria,Jaime Mata,Florian Niederlechner,Oliver McBurnie,Fabian Klos,Kasper Dolberg,Stefano Okaka
Juan Sánchez Miño,FB,Mitchell Dijks,Yuto Nagatomo,Jordan Lotomba,Thomas Foket,Bartosz Bereszyński,Jamal Lewis,Juan Cruz Armada,Mikel Balenziaga,Ronaël Pierre-Gabriel,Cédric Brunner
Alejandro Pozo Pozo,FB,Mitchell Dijks,Nacho,Jamal Lewis,Damián Suárez,Johan Mojica,Ander Capa,Gaetano Letizia,Bartosz Bereszyński,Mihailo Ristić,Matthew Lowton
Alejandro Pozo Pozo,AM,Josh Brownhill,Marc Cucurella,Allan Nyom,Moi Gómez,Ridle Baku,Jóhann Berg Guðmundsson,Dwight McNeil,Alex Iwobi,Yunus Musah,Óscar Plano
Thomas Müller,AM,Christopher Nkunku,Bruno Fernandes,Daichi Kamada,Marco Reus,Dani Olmo,Lars Stindl,Lorenzo Pellegrini,Pablo Sarabia,Ángel Correa,Henrikh Mkhitaryan
Augusto Solari,MF,Hernani,Christoph Baumgartner,Marcos Llorente,Weston McKennie,Nolito,Sergej Milinković-Savić,Jude Bellingham,Juraj Kucka,Lucas Paquetá,Elvis Rexhbeçaj
Ferland Mendy,FB,Rogério,Rayan Aït Nouri,Benjamin Mendy,Jordan Lotomba,Sead Kolašinac,Kieran Tierney,Sergiño Dest,Hassane Kamara,Nélson Semedo,Manuel Lazzari
Yan Brice Eteki,MF,Fede San Emeterio,Jack Cork,José Mari,Jens Jønsson,Tomás Pina Isla,Rani Khedira,Valon Behrami,Sergio Álvarez,Isaac Hayden,Unai Vencedor Paris
Iván Alejo,AM,Édgar Méndez,Yunus Musah,Ander Barrenetxea,Daniel Caligiuri,Marc Cucurella,Ritsu Doan,Renaud Ripart,Óscar Plano,Takashi Inui,Antonio Puertas
David García,CB,Óscar Duarte,Xabier Etxeita,Paulo Oliveira,Felipe,Pedro Bigas,Erick Cabaco,Germán Sánchez,Romain Thomas,Keven Schlotterbeck,Omar Colley
Yeray Álvarez,CB,Ohis Felix Uduokhai,Dimitris Siovas,Iñigo Martínez,Tosin Adarabioyo,Óscar Duarte,Federico Ceccherini,Keven Schlotterbeck,Ciaran Clark,Marc Bartra,Alexander Hack
Martín Zubimendi,MF,Morgan Schneiderlin,Étienne Capoue,Marten de Roon,Fabinho,Ander Guevara,Fernandinho,Christoph Kramer,Granit Xhaka,Lucas Leiva,Boubacar Kamara
Samuel Umtiti,CB,Marlon,Andreas Christensen,William Saliba,Claudio Terzi,Presnel Kimpembe,Hugo Guillamón,Jérôme Boateng,Steven Fortes,Rúben Vezo,Eric Bailly
Jesús Navas,FB,Andrew Robertson,Caio Henrique Oliveira Silva,Leo Dubois,Luke Shaw,Mário Rui,Borna Sosa,Kenny Lala,Pavel Kadeřábek,Cédric Soares,Andoni Gorosabel
Iñigo Martínez,CB,Duje Ćaleta-Car,Paul Baysse,Domingos Duarte,Yeray Álvarez,Jorge Pulido,Stefan de Vrij,Joachim Andersen,Damien Da Silva,Aritz Elustondo,Marcelo
Esteban Burgos,CB,Tyrone Mings,Víctor Laguardia,Germán Sánchez,Issa Diop,Joaquín Fernández,Unai Núñez,Maya Yoshida,Duje Ćaleta-Car,Domingos Duarte,Alessio Romagnoli
Salvi,AM,Allan Nyom,Luis Rioja,Jóhann Berg Guðmundsson,Takashi Inui,Yunus Musah,Tete Morente,Josh Brownhill,Bobby Reid,Édgar Méndez,Óscar Plano
Unai Vencedor Paris,MF,Pedro Mosquera,Yan Brice Eteki,Romaine Sawyers,Iván Marcone,Carlos Gruezo,Haris Belkebla,Valon Behrami,Didier Ibrahim Ndong,Jack Cork,Fede San Emeterio
Míchel,MF,Sandro Tonali,Imran Louza,João Moutinho,Gastón Brugman,Unai López,Laurent Abergel,Luis Milla,Robert Andrich,Maximilian Arnold,Miguel Veloso
Mathías Olivera,FB,Dan Burn,Sébastien Corchia,Kingsley Ehizibue,Nacho Vidal,Enda Stevens,Mathieu Debuchy,Fabio Depaoli,Mario Gaspar,Rober Correa,Thierry Correia
