Date,Name,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Cmp,PassAtt,Cmp%,PassTotDist,PassPrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xA,KP,PassFinThird,PPA,CrsPA,PassProg,SCA,PassLiveShot,PassDeadShot,DribShot,ShLSh,Fld,DefShot,GCA,PassLiveGoal,PassDeadGoal,DribGoal,ShGoal,FldGoal,DefGoal,Tkl,TklW,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,DribTackled,DribContest,DribTackled%,Past,Press,SuccPress,SuccPress%,PressDef3rd,PressMid3rd,PressAtt3rd,Blocks,BlockSh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,TouchDef3rd,TouchMid3rd,TouchAtt3rd,AttPen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,ProgCarries,CarriesFinThird,CPA,Mis,Dis,Targ,Rec,Rec%,ProgPassRec,Gls,PK,PKatt,Sh,SoT,CrdY,CrdR,xG,npxG
2021-03-14,Ragnar Klavan,Matchweek 27,Home,L 1–3,Cagliari,Juventus,N,CB,22,22,27,81.5,400,96,9,9,100.0,11,14,78.6,2,3,66.7,0,0.0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0.0,1,4,1,1,0,0,1,0,0,2,0,32,1,5,24,8,2,30,0,0,0,0,0,25,169,112,5,4,0,0,0,26,26,100.0,0,0,0,0,2,1,0,0,0.2,0.2
2021-03-20,Ragnar Klavan,Matchweek 28,Away,L 1–2,Cagliari,Spezia,Y,CB,80,45,48,93.8,900,135,14,14,100.0,25,26,96.2,5,7,71.4,0,0.0,0,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,1,0.0,1,10,2,20.0,5,5,0,0,0,0,0,1,3,1,0,54,6,32,24,0,0,52,0,0,0,0,0,32,224,130,4,0,0,0,0,34,34,100.0,0,0,0,0,0,0,0,0,0.0,0.0
2021-04-03,Ragnar Klavan,Matchweek 29,Home,L 0–2,Cagliari,Hellas Verona,Y,CB,60,11,17,64.7,247,61,4,5,80.0,5,6,83.3,2,6,33.3,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,0,1,1,100.0,0,9,2,22.2,7,2,0,1,0,0,1,1,4,8,0,30,7,19,10,4,1,26,0,0,0,0,0,9,65,24,0,1,0,0,0,8,8,100.0,0,0,0,0,1,0,1,0,0.0,0.0
2021-05-16,Ragnar Klavan,Matchweek 37,Away,D 0–0,Cagliari,Milan,N,CB,4,1,1,100.0,81,73,0,0,0,0,0,0,1,1,100.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2021-05-22,Ragnar Klavan,Matchweek 38,Home,L 0–1,Cagliari,Genoa,Y,CB,90,68,70,97.1,1552,494,15,15,100.0,36,38,94.7,16,16,100.0,0,0.0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,50.0,1,12,3,25.0,9,3,0,1,0,0,1,1,2,2,0,77,6,40,41,3,1,76,0,0,0,0,0,59,345,182,4,0,0,0,0,63,62,98.4,0,0,0,0,1,0,0,0,0.0,0.0
2020-10-04,Gennaro Acampora,Matchweek 3,Away,L 0–3,Spezia,Milan,N,DM,32,8,8,100.0,166,47,2,2,100.0,4,4,100.0,2,2,100.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,12.5,1,5,2,2,0,0,2,0,0,1,0,13,1,1,9,4,0,11,0,0,0,0,0,6,41,23,2,1,0,0,1,7,6,85.7,0,0,0,0,0,0,0,0,0.0,0.0
2020-10-18,Gennaro Acampora,Matchweek 4,Home,D 2–2,Spezia,Fiorentina,Y,CM,90,25,32,78.1,417,62,12,15,80.0,11,15,73.3,2,2,100.0,0,0.0,0,3,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,5,1,1,2,50.0,1,27,6,22.2,0,20,7,2,1,0,1,0,6,0,0,52,1,5,38,14,0,52,0,3,0.0,1,0,36,227,117,4,3,0,1,4,35,32,91.4,1,0,0,0,2,0,0,0,0.0,0.0
2020-12-20,Gennaro Acampora,Matchweek 13,Away,L 1–2,Spezia,Inter,Y,"RW,CM",89,35,41,85.4,784,47,9,12,75.0,17,19,89.5,8,8,100.0,0,0.0,1,1,1,1,1,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,13.3,0,11,4,0,0,0,0,2,2,0,0,46,0,2,28,22,1,46,1,1,100.0,1,0,37,194,67,5,3,0,0,1,55,42,76.4,4,0,0,0,2,0,0,0,0.1,0.1
2021-01-23,Gennaro Acampora,Matchweek 19,Away,L 3–4,Spezia,Roma,N,CM,33,14,17,82.4,420,67,4,4,100.0,3,4,75.0,7,8,87.5,0,0.0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0,2,0,0,0,0,0,0,0,0,0,19,0,5,12,6,0,19,0,0,0,0,0,17,160,107,4,2,0,0,1,22,18,81.8,2,0,0,0,0,0,0,0,0.0,0.0
2021-01-31,Gennaro Acampora,Matchweek 20,Home,L 0–1,Spezia,Udinese,N,"CM,LM",45,23,31,74.2,349,87,10,10,100.0,11,14,78.6,1,5,20.0,0,0.0,0,2,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,100.0,0,6,3,50.0,1,3,2,0,0,0,0,0,1,0,0,33,0,1,16,20,3,33,0,0,0,0,0,31,241,87,4,3,0,1,0,33,29,87.9,3,0,0,0,0,0,1,0,0.0,0.0
2021-02-06,Gennaro Acampora,Matchweek 21,Away,W 2–1,Spezia,Sassuolo,N,CM,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0
2021-02-13,Gennaro Acampora,Matchweek 22,Home,W 2–0,Spezia,Milan,N,CM,8,1,3,33.3,21,0,0,0,0,1,3,33.3,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.0,1,0,2,0,0,0,0,0,0,0,0,6,0,0,1,5,0,6,0,1,0.0,0,0,4,14,4,0,0,0,0,1,6,5,83.3,0,0,0,0,1,0,0,0,0.0,0.0
2021-02-27,Gennaro Acampora,Matchweek 24,Home,D 2–2,Spezia,Parma,N,"DM,LB,CM",45,20,25,80.0,401,110,8,9,88.9,9,10,90.0,3,6,50.0,0,0.0,0,2,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,1,2,50.0,1,9,4,44.4,4,5,0,1,0,0,1,1,3,1,0,36,3,9,21,9,1,36,2,4,50.0,2,0,25,154,60,1,0,0,2,1,21,20,95.2,1,0,0,0,1,0,1,0,0.0,0.0
2021-03-02,Gennaro Acampora,Matchweek 25,Away,L 0–3,Spezia,Juventus,N,CM,19,20,21,95.2,288,58,15,15,100.0,4,4,100.0,1,2,50.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,100.0,0,3,0,0.0,0,2,1,0,0,0,0,0,1,0,0,26,0,2,10,16,1,26,1,1,100.0,1,0,16,118,28,3,0,0,2,1,19,17,89.5,0,0,0,0,1,0,0,0,0.0,0.0
2021-03-12,Gennaro Acampora,Matchweek 27,Away,L 1–3,Spezia,Atalanta,N,"CM,RB",24,14,15,93.3,313,26,3,3,100.0,8,9,88.9,3,3,100.0,0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,50.0,0,0,2,0,0,0,0,1,1,1,0,18,1,3,14,4,0,18,1,1,100.0,1,0,14,57,36,1,1,0,0,1,15,14,93.3,1,0,0,0,0,0,0,0,0.0,0.0
2021-03-20,Gennaro Acampora,Matchweek 28,Home,W 2–1,Spezia,Cagliari,N,CM,9,3,4,75.0,52,27,2,3,66.7,0,0,0,1,1,100.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,50.0,0,2,0,0,0,0,0,0,0,0,0,6,2,4,0,2,1,6,0,0,0,0,0,4,32,19,1,0,1,1,0,4,2,50.0,1,0,0,0,1,0,0,0,0.1,0.1
2021-04-18,Gennaro Acampora,Matchweek 31,Away,L 1–4,Spezia,Bologna,N,CM,25,15,16,93.8,339,28,6,7,85.7,8,8,100.0,1,1,100.0,0,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0.0,1,3,0,0,0,0,0,0,0,0,0,17,0,1,9,9,0,17,0,0,0,0,0,15,147,37,2,1,0,0,1,14,13,92.9,1,0,0,0,0,0,0,0,0.0,0.0
2021-05-01,Gennaro Acampora,Matchweek 34,Away,D 1–1,Spezia,Hellas Verona,N,DM,8,3,4,75.0,85,38,1,1,100.0,1,1,100.0,1,2,50.0,0,0.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,100.0,0,3,3,100.0,0,0,3,0,0,0,0,0,1,0,0,7,0,0,4,3,1,6,0,0,0,0,0,5,19,5,0,0,0,0,0,4,3,75.0,0,0,0,0,1,0,0,0,0.1,0.1
2021-05-08,Gennaro Acampora,Matchweek 35,Home,L 1–4,Spezia,Napoli,N,CM,13,8,8,100.0,199,28,3,3,100.0,2,2,100.0,3,3,100.0,0,0.0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.0,0,3,0,1,0,0,1,0,0,0,0,11,0,0,10,1,0,10,0,1,0.0,1,1,9,28,11,1,0,0,1,0,11,9,81.8,0,0,0,0,0,0,0,0,0.0,0.0
2020-09-20,Lisandro Magallán,Matchweek 1,Away,L 1–4,Crotone,Genoa,Y,CB,90,70,74,94.6,1381,603,18,18,100.0,46,50,92.0,6,6,100.0,0,0.1,2,6,0,0,11,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,3,0,1,3,33.3,2,17,6,35.3,4,11,2,0,0,0,0,1,5,2,0,85,4,36,43,10,1,80,0,1,0.0,1,0,53,191,151,6,0,0,2,0,65,65,100.0,2,0,0,0,1,0,0,0,0.1,0.1
2020-09-27,Lisandro Magallán,Matchweek 2,Home,L 0–2,Crotone,Milan,Y,CB,90,28,35,80.0,581,202,9,10,90.0,12,13,92.3,6,9,66.7,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,1,1,100.0,0,13,7,53.8,5,7,1,1,0,0,1,1,4,1,0,43,3,19,23,2,1,43,0,0,0,0,0,29,200,92,2,0,0,1,0,30,29,96.7,0,0,0,0,1,0,0,0,0.1,0.1
2020-10-03,Lisandro Magallán,Matchweek 3,Away,L 1–4,Crotone,Sassuolo,Y,CB,90,44,52,84.6,785,390,19,22,86.4,17,18,94.4,5,8,62.5,0,0.0,0,5,1,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,2,1,0,1,0.0,1,17,9,52.9,3,11,3,2,0,0,2,2,6,0,0,59,1,25,31,7,1,51,1,1,100.0,1,0,27,128,53,1,1,0,0,0,31,31,100.0,0,0,0,0,1,0,1,0,0.2,0.2
2020-10-17,Lisandro Magallán,Matchweek 4,Home,D 1–1,Crotone,Juventus,Y,CB,90,47,55,85.5,929,355,17,17,100.0,21,24,87.5,9,12,75.0,0,0.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,0,1,1,100.0,0,19,4,21.1,10,8,1,2,0,0,2,0,3,6,0,68,12,44,24,4,0,62,0,1,0.0,1,1,33,110,57,1,1,0,0,0,39,39,100.0,0,0,0,0,0,0,1,0,0.0,0.0
2020-10-25,Lisandro Magallán,Matchweek 5,Away,L 2–4,Crotone,Cagliari,Y,"CB,RB",90,61,68,89.7,1137,481,17,19,89.5,39,42,92.9,5,7,71.4,0,0.0,1,6,2,0,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,1,0,2,3,66.7,1,11,5,45.5,7,4,0,0,0,0,0,0,3,1,1,74,5,45,30,4,0,65,2,2,100.0,2,0,53,254,161,4,1,0,2,0,54,53,98.1,0,0,0,0,0,0,1,0,0.0,0.0
2020-10-31,Lisandro Magallán,Matchweek 6,Home,L 1–2,Crotone,Atalanta,Y,CB,90,40,47,85.1,741,364,16,17,94.1,22,26,84.6,2,4,50.0,0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,0,0,1,0.0,1,16,4,25.0,10,5,1,2,1,0,1,0,3,5,0,57,7,30,27,2,0,54,0,0,0,0,0,35,92,34,1,0,0,1,0,34,34,100.0,0,0,0,0,0,0,0,0,0.0,0.0
2020-11-08,Lisandro Magallán,Matchweek 7,Away,D 0–0,Crotone,Torino,Y,CB,90,53,58,91.4,1138,240,11,11,100.0,34,37,91.9,8,10,80.0,0,0.0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,7,5,4,3,0,3,5,60.0,2,18,8,44.4,9,8,1,4,2,0,2,0,7,5,0,71,9,40,31,4,0,65,0,0,0,0,0,44,168,102,3,2,0,0,0,43,43,100.0,1,0,0,0,0,0,0,0,0.0,0.0
2020-11-21,Lisandro Magallán,Matchweek 8,Home,L 0–2,Crotone,Lazio,Y,CB,90,39,52,75.0,637,200,18,22,81.8,19,22,86.4,0,3,0.0,0,0.1,2,4,0,0,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,1,1,0,0,0,0,13,7,53.8,5,7,1,5,0,0,5,2,6,6,0,70,7,23,39,10,0,68,0,0,0,0,0,35,154,83,4,0,0,1,2,25,24,96.0,0,0,0,0,0,0,0,0,0.0,0.0
2020-11-29,Lisandro Magallán,Matchweek 9,Away,L 0–1,Crotone,Bologna,Y,CB,57,20,31,64.5,515,286,5,8,62.5,7,10,70.0,8,13,61.5,0,0.1,1,4,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,3,0,3,3,100.0,0,12,2,16.7,2,10,0,0,0,0,0,1,4,5,0,41,2,14,23,6,0,41,0,0,0,0,0,24,195,96,1,1,0,0,1,21,21,100.0,0,0,0,0,0,0,1,0,0.0,0.0
2020-12-12,Lisandro Magallán,Matchweek 11,Home,W 4–1,Crotone,Spezia,Y,CB,73,21,27,77.8,432,201,4,4,100.0,15,19,78.9,2,4,50.0,0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,0,2,2,100.0,0,9,3,33.3,5,4,0,0,0,0,0,3,6,1,0,34,4,20,17,0,0,30,0,0,0,0,0,15,56,28,0,0,0,0,1,17,15,88.2,0,0,0,0,0,0,1,0,0.0,0.0
2020-12-19,Lisandro Magallán,Matchweek 13,Away,L 1–3,Crotone,Sampdoria,Y,CB,77,46,55,83.6,976,347,13,15,86.7,26,31,83.9,7,9,77.8,0,0.0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,1,0,1,1,100.0,0,11,3,27.3,8,3,0,1,0,0,1,1,4,1,0,59,5,38,24,1,0,58,0,0,0,0,0,40,158,44,1,0,0,0,0,40,40,100.0,0,0,0,0,0,0,0,0,0.0,0.0
2020-12-22,Lisandro Magallán,Matchweek 14,Home,W 2–1,Crotone,Parma,N,CB,28,4,7,57.1,96,56,1,1,100.0,2,4,50.0,1,2,50.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,1,0,0,1,1,0,0,1,1,3,0,11,2,7,3,1,0,11,0,0,0,0,0,6,17,4,0,0,0,0,0,1,1,100.0,0,0,0,0,0,0,0,0,0.0,0.0
2021-01-03,Lisandro Magallán,Matchweek 15,Away,L 2–6,Crotone,Inter,N,CB,21,16,18,88.9,340,158,3,4,75.0,12,12,100.0,1,2,50.0,0,0.0,1,2,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,2,0,0.0,1,1,0,0,0,0,0,1,1,0,0,19,0,6,14,0,0,19,0,0,0,0,0,16,78,41,2,0,0,0,0,18,17,94.4,0,0,0,0,0,0,0,0,0.0,0.0
2021-01-06,Lisandro Magallán,Matchweek 16,Home,L 1–3,Crotone,Roma,Y,CB,90,61,69,88.4,1219,623,18,19,94.7,35,37,94.6,8,11,72.7,0,0.0,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,1,0,2,3,66.7,1,12,2,16.7,4,8,0,4,2,0,2,2,5,4,0,82,11,51,32,0,0,80,1,1,100.0,1,0,62,228,96,1,0,0,1,0,62,61,98.4,0,0,0,0,0,0,1,0,0.0,0.0
2021-01-17,Lisandro Magallán,Matchweek 18,Home,W 4–1,Crotone,Benevento,Y,CB,90,26,34,76.5,438,275,15,17,88.2,7,10,70.0,3,5,60.0,0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,1,2,50.0,1,14,6,42.9,8,6,0,1,1,0,0,1,3,3,0,43,9,25,18,3,2,40,0,0,0,0,0,23,149,66,1,0,0,0,0,20,20,100.0,0,0,0,0,1,0,0,0,0.3,0.3
2021-01-31,Lisandro Magallán,Matchweek 20,Home,L 0–3,Crotone,Genoa,Y,CB,68,29,35,82.9,673,259,4,5,80.0,21,25,84.0,4,4,100.0,0,0.0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,0,0,0,0,0,0,15,4,26.7,11,3,1,2,2,0,0,4,8,9,1,53,8,31,21,2,1,49,0,0,0,0,0,26,165,59,1,0,0,0,1,28,26,92.9,0,0,0,0,1,0,0,0,0.0,0.0
2021-02-22,Lisandro Magallán,Matchweek 23,Away,L 0–3,Crotone,Juventus,Y,CB,90,30,35,85.7,577,282,11,11,100.0,12,15,80.0,5,7,71.4,0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,2,1,2,2,100.0,0,14,6,42.9,7,7,0,1,1,0,0,1,5,5,1,46,11,26,20,3,1,41,0,0,0,0,0,22,115,67,2,1,0,0,0,24,24,100.0,0,0,0,0,1,0,0,0,0.1,0.1
2021-02-28,Lisandro Magallán,Matchweek 24,Home,L 0–2,Crotone,Cagliari,Y,CB,90,36,41,87.8,799,320,12,12,100.0,18,20,90.0,6,9,66.7,0,0.0,1,8,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,50.0,1,6,2,33.3,3,2,1,1,0,0,1,3,4,5,0,51,3,27,26,3,1,50,0,0,0,0,0,34,269,184,1,0,0,0,0,34,34,100.0,0,0,0,0,1,1,1,0,0.2,0.2
2021-03-03,Lisandro Magallán,Matchweek 25,Away,L 1–5,Crotone,Atalanta,Y,CB,50,5,13,38.5,112,82,1,1,100.0,3,7,42.9,1,3,33.3,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,1,2,50.0,1,15,8,53.3,9,6,0,1,1,0,0,0,2,5,0,20,2,11,9,1,0,19,0,0,0,0,0,8,29,14,0,0,0,1,0,6,5,83.3,0,0,0,0,0,0,1,0,0.0,0.0
2021-03-07,Lisandro Magallán,Matchweek 26,Home,W 4–2,Crotone,Torino,Y,CB,90,19,25,76.0,431,242,5,8,62.5,10,12,83.3,3,3,100.0,0,0.0,0,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,100.0,0,13,6,46.2,7,5,1,1,1,0,0,0,1,7,0,36,7,20,12,4,3,35,0,0,0,0,0,18,38,11,0,0,0,0,2,21,18,85.7,1,0,0,0,1,0,0,0,0.1,0.1
2021-03-12,Lisandro Magallán,Matchweek 27,Away,L 2–3,Crotone,Lazio,Y,CB,45,23,27,85.2,367,109,10,11,90.9,9,9,100.0,2,4,50.0,1,0.1,1,2,0,0,4,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,7,2,28.6,6,1,0,1,1,0,0,1,1,0,0,28,3,8,20,0,0,27,0,0,0,0,0,20,101,52,3,0,0,0,0,23,21,91.3,0,0,0,0,0,0,0,0,0.0,0.0
