Name,Position,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Rank 9,Rank 10
Martin Erlic,CB,Marash Kumbulla,Ismaël Traoré,Harold Moukoudi,Maya Yoshida,Simon Kjær,Duje Ćaleta-Car,Domingos Duarte,Yunis Abdelhamid,Romain Thomas,Daniele Rugani
Alberto Cerri,FW,Florian Sotoca,Ihlas Bebou,Andrea Belotti,Gerard Moreno,Moanes Dabour,Anthony Martial,Amine Gouiri,Edin Džeko,Roberto Firmino,Andy Delort
Salvatore Sirigu,GK,Luigi Sepe,Matthieu Dreyer,Mattia Perin,Gautier Larsonneur,Walter Benítez,Martin Dúbravka,Álvaro Fernández,Alex Cordaz,Thomas Strakosha,Rubén Blanco
Rogério,FB,Hassane Kamara,Ferland Mendy,Rayan Aït Nouri,Héctor Bellerín,Jordan Lotomba,Youssouf Sabaly,Mert Müldür,Adrien Truffert,Dani Carvajal,Mitchel Bakker
Mert Müldür,FB,Hassane Kamara,James Justin,Nélson Semedo,Sergio Reguilón,Ander Capa,Rogério,Rubén Peña,Giorgos Kiriakopoulos,Layvin Kurzawa,Benjamin Mendy
Álvaro Morata,FW,Ihlas Bebou,Gerard Moreno,Yussuf Poulsen,Lautaro Martínez,Antoine Griezmann,Wissam Ben Yedder,Timo Werner,Ollie Watkins,Sasa Kalajdzic,Harry Kane
Jens Petter Hauge,AM,Dejan Kulusevski,Filip Đuričić,Marco Reus,Gio Reyna,Christian Pulisic,Gelson Martins,Ángel Correa,Brahim Díaz,Ferrán Torres,Daniel James
Samu Castillejo,AM,Ludovic Blas,Sofiane Diop,Daniel James,Ayoze Pérez,Pablo Fornals,Miguel Almirón,Eric Junior Dina Ebimbe,Ander Barrenetxea,Antonín Barák,Álex Berenguer
Jasmin Kurtić,MF,Toma Bašić,Gonzalo Melero,Stuart Dallas,Roberto Gagliardini,Ivan Rakitić,Abdoulaye Touré,Rolando Mandragora,Xeka,Nahitan Nández,Andrés Guardado
Giuseppe Pezzella,FB,Domagoj Bradarić,Jérôme Roussillon,Junior Sambia,Cédric Soares,José Luis Gayà,Matthieu Udol,Gabriele Zappa,Pablo Maffeo,Ander Capa,Aarón Martín
Daniele Rugani,CB,José Luis Palomino,Amos Pieper,Ben Godfrey,Danilo Larangeira,Willy Boly,Sebastiaan Bornauw,Lisandro Magallán,Issa Diop,Ohis Felix Uduokhai,Nikola Milenković
Diego Farias,AM,Marco Asensio,Rony Lopes,Angelo Fulgini,Josip Brekalo,Leandro Trossard,Piotr Zieliński,Bukayo Saka,Pedro Neto,Daniel Podence,Mason Greenwood
Luiz Felipe,CB,Kalidou Koulibaly,Wesley Hoedt,Steven Fortes,Makoto Hasebe,Andrea Masiello,Facundo Medina,Marlon,Domenico Criscito,Jack Stephens,Simone Iacoponi
Rodrigo De Paul,MF,Luis Alberto,Kevin De Bruyne,Lorenzo Pellegrini,Houssem Aouar,Nadiem Amiri,Piotr Zieliński,David Silva,Sergio Canales,Florian Wirtz,Kerem Demirbay
Bryan Cristante,CB,Marcel Halstenberg,Emre Can,David Alaba,Rafael Tolói,Berat Djimsiti,César Azpilicueta,Gianluca Mancini,Sergio Ramos,Niklas Süle,Alessandro Bastoni
Bryan Cristante,MF,Axel Witsel,Miguel Veloso,Abdoulaye Touré,Bryan Dabo,Alfred Duncan,Jordan Henderson,Jonjo Shelvey,Wataru Endo,Rodri,Stuart Dallas
Nikola Maksimović,CB,Kalidou Koulibaly,Waldemar Anton,Giorgio Chiellini,Milan Škriniar,José Fonte,Clément Lenglet,Çağlar Söyüncü,Aritz Elustondo,Sven Botman,Rob Holding
Paweł Dawidowicz,CB,Jerry St. Juste,Niklas Stark,Alexander Djiku,Sebastien De Maio,Ozan Kabak,Federico Ceccherini,Lorenzo Tonelli,Omar Colley,Pascal Struijk,Dimitris Siovas
Riccardo Gagliolo,CB,Rafael Tolói,Emre Can,Bryan Cristante,Martin Hinteregger,César Azpilicueta,Gianluca Mancini,Stefan Posch,Marvin Friedrich,Óscar Mingueza,Marcel Halstenberg
Riccardo Gagliolo,FB,Diogo Dalot,Davide Calabria,Stuart Dallas,Romain Perraud,Ezgjan Alioski,Maxwel Cornet,Davide Faraoni,Mihailo Ristić,Nordi Mukiele,Jonathan Schmid
Aaron Hickey,FB,Mitchell Dijks,Yuto Nagatomo,Jordan Lotomba,Thomas Foket,Dimitri Foulquier,Sead Kolašinac,Luca Vignali,Alejandro Pozo Pozo,Johan Mojica,Souleyman Doumbia
Angelo da Costa Júnior,GK,Andrea Consigli,Yann Sommer,Manuel Neuer,Álvaro Fernández,Oliver Baumann,Thomas Strakosha,Aitor Fernández,Lukáš Hrádecký,Alex Cordaz,Pau López
Hidde ter Avest,FB,Mitchell Dijks,Ryan Bertrand,Bartosz Bereszyński,Thomas Foket,Juan Cruz Armada,Jordan Lotomba,Alejandro Pozo Pozo,Aihen Muñoz,Mikel Balenziaga,Carlos Neva
Rodrigo Becão,CB,Niklas Stark,Ben Godfrey,Chris Basham,Waldemar Anton,Ben White,Samir Santos,Amos Pieper,Mason Holgate,Paweł Dawidowicz,Kevin Bonifazi
Alex Morgan,FW,Valérie Gauvin,Danielle Carter,Lee Geum-min,Abigail Harrison,Jane Ross,Rianna Jarrett,Lauren Bruton,Emma Harries,Rachel Williams,Shania Hayles
Simone Bastoni,FB,Ezgjan Alioski,Ruben Aguilar,Maxwel Cornet,Theo Hernández,Zeki Çelik,João Cancelo,Trent Alexander-Arnold,Romain Perraud,Reece James,Giovanni Di Lorenzo
Marco Sau,AM,Jarrod Bowen,Emmanuel Gyasi,Bertrand Traoré,Stephy Mavididi,Portu,Mikel Oyarzabal,Martin Terrier,Gianluca Caprari,José Luis Morales,João Pedro
Lukas Lerager,MF,Niccolò Zanellato,Tomás Rincón,Douglas Luiz,Albin Ekdal,Maximilian Eggestein,Fernando,Tobias Strobl,Jon Moncayola,John Lundstram,Sander Berge
Eduardo Henrique,MF,Georginio Wijnaldum,Toma Bašić,Raúl Guti,Artur Ioniță,Grischa Prömel,Karol Linetty,John Lundstram,Saša Lukić,Mikel Rico,Yannick Cahuzac
Roberto Piccoli,FW,Nils Petersen,Olivier Giroud,Tammy Abraham,Youssef En-Nesyri,Ante Budimir,Roberto Soldado,Dominic Calvert-Lewin,Chris Wood,Krzysztof Piątek,Giovanni Simeone
Bosko Sutalo,CB,Dayot Upamecano,Ben White,Francesco Acerbi,Ștefan Radu,Aritz Elustondo,Diego Godín,Federico Ceccherini,Chris Basham,Jean-Kevin Duverne,Patric
Vladimir Golemić,CB,Bram Nuytinck,Daniel Congré,Pablo Insua,Ivan Radovanović,Robin Knoche,Luca Ceppitelli,Luca Marrone,Bruno González,Fikayo Tomori,Matija Nastasić
Léo Sena,MF,Nemanja Matić,Sofyan Amrabat,Didier Ibrahim Ndong,Jorginho,Walace,Christoph Kramer,Ismaël Bennacer,Nampalys Mendy,Haris Belkebla,Moreto Cassamã
Jakub Jankto,AM,Bobby Reid,Antonio Puertas,Jon Morcillo,Remi Oudin,Rubén García,Roberto Torres,Theo Walcott,Niclas Eliasson,Ruben Vargas,Takashi Inui
Theo Walcott,AM,Bobby Reid,Nathanael Mbuku,Édgar Méndez,Moses Simon,Jakub Jankto,Jarrod Bowen,Takashi Inui,Antonio Puertas,Dodi Lukebakio,Portu
Radja Nainggolan,MF,John McGinn,Nahitan Nández,Edu Expósito,Gaetano Castrovilli,Giacomo Bonaventura,Imran Louza,Florent Mollet,Brais Méndez,Seko Fofana,Roque Mesa
Radja Nainggolan,AM,Stuart Armstrong,Aitor Ruibal,Enis Bardhi,Jóhann Berg Guðmundsson,Alex Iwobi,Eric Junior Dina Ebimbe,Daniel Caligiuri,Miguel Almirón,Marc Cucurella,Ruben Loftus-Cheek
Maxime Lopez,MF,Arthur Melo,Bruno Guimarães,Mattéo Guendouzi,Koke,Axel Witsel,Gonzalo Villar,Toni Kroos,Georginio Wijnaldum,Mateo Kovačić,Fabián Ruiz Peña
Rafael Leão,FW,Ihlas Bebou,Anthony Martial,Andrea Belotti,Wissam Ben Yedder,Gerard Moreno,Álvaro Morata,Amine Gouiri,Sehrou Guirassy,João Pedro,Danny Ings
Rafael Leão,AM,Ante Rebić,Pierre-Emerick Aubameyang,Nicolas Pépé,Ferrán Torres,Karl Toko Ekambi,Timo Werner,Marcus Thuram,Gaëtan Laborde,Musa Barrow,João Pedro
Dennis Man,AM,Roland Sallai,Richarlison,Munir El Haddadi,Anwar El Ghazi,Daniel James,Ruben Loftus-Cheek,Jonathan Ikone,Mason Greenwood,Bertrand Traoré,Yoane Wissa
Nicolás Domínguez,MF,Arturo Vidal,Pierre Lees-Melou,Dominik Kohr,Baptiste Santamaria,Jude Bellingham,Weston McKennie,Saúl Ñíguez,Habib Maïga,Xeka,Danny Latza
Pau López,GK,Anthony Lopes,Wojciech Szczęsny,David Ospina,Bernd Leno,Ederson,Marc-André ter Stegen,Alisson,Andrea Consigli,Gianluigi Donnarumma,Manuel Neuer
Davide Calabria,FB,Hugo Mallo,James Justin,Zeki Çelik,Ryan Sessegnon,Stefan Lainer,Riccardo Gagliolo,Romain Perraud,Wendell,Kevin Mbabu,Luke Ayling
Mikkel Damsgaard,AM,Daniel Caligiuri,Andros Townsend,Aitor Ruibal,Lucas Moura,Álex Berenguer,Jean-Paul Boëtius,Rubén Rochina,Alexis Saelemaekers,Nathan Redmond,Ander Barrenetxea
Sebastian Walukiewicz,CB,Dylan Bronn,Luca Marrone,Dominique Heintz,Bram Nuytinck,Simone Iacoponi,Ivan Radovanović,Jason Denayer,Robson Bambu,Kevin Bonifazi,Sergio Postigo
Kaan Ayhan,CB,Lukas Klostermann,Milan Škriniar,Gerard Piqué,Leonardo Bonucci,Jean-Kevin Duverne,Robin Le Normand,Nikola Maksimović,Rúben Dias,David Luiz,Alessandro Bastoni
Luca Caldirola,CB,Jorge Pulido,Pedro Mendes,Philipp Lienhart,Manuel Gulde,Ezri Konsa,Loïck Landre,Angelo Ogbonna,Marcos Mauro López Gutiérrez,Cala,Yerry Mina
Jean-Victor Makengo,MF,Artur Ioniță,Jack Cork,Ibrahima Sissoko,Unai Vencedor Paris,John Fleck,Romaine Sawyers,Rodrigo Battaglia,Moussa Sissoko,Maxime Gonalons,Ander Guevara
Bryan Reynolds,FB,Alex Roldan,Jaylin Lindsey,Ali Adnan Kadhim,Cristián Gutiérrez,Jorge Luis Corrales,Boris Sekulić,Daniel Lovitz,Jorge Villafaña,Milton Valenzuela,João Moutinho
Giovanni Di Lorenzo,FB,Thomas Meunier,Robin Gosens,Theo Hernández,Alex Sandro,Leo Dubois,Yuri Berchiche,Ben Chilwell,Luke Shaw,João Cancelo,Hamari Traoré
Stefano Sturaro,MF,Mauro Arambarri,Jaime Seoane,Grischa Prömel,John Lundstram,Darko Brašanac,Jon Moncayola,Abdoulaye Doucouré,Morten Thorsby,Rolando Mandragora,Yangel Herrera
Nahuel Molina,FB,Ridle Baku,Jonathan Clauss,Alfonso Pedraza,Ben Chilwell,Pol Lirola,Romain Perraud,José Luis Gayà,Ryan Sessegnon,Arkadiusz Reca,Pervis Estupiñán
Alessandro Tuia,CB,Unai García,Senou Coulibaly,Dylan Bronn,Daniel Congré,Julien Laporte,Andrea Masiello,Pablo Insua,Wesley Hoedt,Vladimir Golemić,Robin Knoche
Walace,MF,Haris Belkebla,Mickael Malsa,Christoph Kramer,Paul Lasne,Pedro Obiang,Renato Tapia,Yves Bissouma,Guido Rodríguez,Nicolas Höfler,Douglas Luiz
Ivan Provedel,GK,Kevin Trapp,Lorenzo Montipò,Alex McCarthy,Timo Horn,Joel Robles,Andrea Consigli,Alex Cordaz,Marco Sportiello,Steve Mandanda,Lukáš Hrádecký
Kastriot Dermaku,CB,Loïck Landre,Jesús Vallejo,Philipp Lienhart,Mouctar Diakhaby,Jérémy Morel,Daniel Congré,Ivan Radovanović,Conor Coady,Alessio Romagnoli,Simone Iacoponi
Marten de Roon,MF,Lucas Leiva,Pierre Højbjerg,Harrison Reed,Boubacar Kamara,Martín Zubimendi,Oriol Romeu,Morgan Schneiderlin,Pape Gueye,Étienne Capoue,Fabien Lemoine
Emmanuel Rivière,FW,Kévin Gameiro,Shon Weissman,Roger Martí,Stefano Okaka,Kasper Dolberg,Dani Gómez,Krzysztof Piątek,Jaime Mata,Josh Maja,Simeon Nwankwo
Alexis Sánchez,FW,Roberto Firmino,Gabriel Jesus,Dries Mertens,Luis Muriel,Paulo Dybala,Ángel Correa,Wissam Ben Yedder,Amine Gouiri,Moanes Dabour,Antoine Griezmann
Marko Pjaca,FW,Ondrej Duda,Wilfried Zaha,Jordan Ayew,Junior Messias,Franck Ribéry,Goran Pandev,João Félix,Alexandre Lacazette,Boulaye Dia,Joelinton
Gastón Ramírez,FW,Ondrej Duda,Junior Messias,Joelinton,Ángel Correa,Franck Ribéry,Josh Sargent,Jordan Ayew,Yussuf Poulsen,Lucas Höler,Musa Barrow
Gastón Ramírez,AM,Jean-Paul Boëtius,Mikkel Damsgaard,Zinedine Ferhat,Gaël Kakuta,Rubén Rochina,Jack Harrison,Rubén García,Daniel Caligiuri,Jonas Hofmann,Jorge de Frutos
Jerdy Schouten,MF,Étienne Capoue,Christoph Kramer,Diadie Samassékou,Didier Ibrahim Ndong,Nicolas Höfler,Harrison Reed,Milan Badelj,Luka Milivojević,Omar Mascarell,Declan Rice
Robin Gosens,FB,Theo Hernández,Ben Chilwell,Giovanni Di Lorenzo,Angeliño,Maxwel Cornet,Jonathan Clauss,Achraf Hakimi,Ridle Baku,Jordi Alba,Ivan Perišić
Gianluca Lapadula,FW,Kevin Lasagna,Arkadiusz Milik,Alexander Isak,Luis Suárez,Ollie Watkins,Simone Zaza,Fabio Quagliarella,Patrik Schick,Erling Haaland,Jamie Vardy
Elseid Hysaj,FB,Danilo,Youssouf Sabaly,Mateu Morey,Tommaso Augello,Cédric Soares,Domagoj Bradarić,Vincent Le Goff,Djibril Sidibé,Hamari Traoré,Bastian Oczipka
Lorenzo Insigne,AM,Ousmane Dembélé,Jadon Sancho,Riyad Mahrez,Hakan Çalhanoğlu,Papu Gómez,Domenico Berardi,Lionel Messi,Jack Grealish,Neymar,Hakim Ziyech
Antonio Mirante,GK,Oliver Baumann,Péter Gulácsi,Benjamin Lecomte,Wojciech Szczęsny,Andrea Consigli,Álex Remiro,Anthony Lopes,Jiří Pavlenka,Pau López,Yann Sommer
Milan Škriniar,CB,Manuel Akanji,Nikola Maksimović,Clément Lenglet,Mario Hermoso,Niklas Süle,Lukas Klostermann,Leonardo Bonucci,John Stones,Samir Santos,Matthijs de Ligt
Thomas Strakosha,GK,Mattia Perin,David de Gea,Walter Benítez,Alexander Schwolow,Marwin Hitz,Yann Sommer,Pepe Reina,Álvaro Fernández,Jessy Moulin,Salvatore Sirigu
Marcelo Brozović,MF,Daniel Parejo,Kevin Kampl,Toni Kroos,Xeka,Miralem Pjanić,Manuel Locatelli,Maximilian Arnold,Remo Freuler,Leandro Paredes,James Ward-Prowse
Valerio Verre,AM,Gaël Kakuta,Dani Olmo,Daichi Kamada,Josip Brekalo,Rodrygo,Renato Steffen,Marco Reus,Mikel Oyarzabal,Christopher Nkunku,Jonathan Bamba
Giovanni Simeone,FW,Kevin Lasagna,Stéphane Bahoken,Jhon Córdoba,Josh Maja,Mattia Destro,Hwang Ui-jo,Pierre-Emerick Aubameyang,Danny Welbeck,Antonio Sanabria,Moussa Koné
Luigi Sepe,GK,Timo Horn,Salvatore Sirigu,Alex Cordaz,Gautier Larsonneur,Matthieu Dreyer,Ralf Fährmann,Kevin Trapp,Álvaro Fernández,Baptiste Reynet,Andreas Luthe
Vincent Laurini,FB,Vincent Manceau,Thomas Foket,Sofiane Alakouch,Anthony Caci,Andrea Conti,Bastian Oczipka,Vincent Le Goff,Yuto Nagatomo,Dennis Appiah,Mateu Morey
Antonio Candreva,FB,Darko Lazović,Angeliño,Raphaël Guerreiro,Leonardo Spinazzola,Filip Kostić,Trent Alexander-Arnold,Achraf Hakimi,Federico Dimarco,Cristiano Biraghi,Yannick Carrasco
Antonio Candreva,AM,Vincenzo Grifo,Sergio Canales,Willian,Lorenzo Pellegrini,Matheus Pereira,Papu Gómez,James Rodríguez,Hakan Çalhanoğlu,Dimitri Payet,Farid Boulaya
Domenico Criscito,CB,Fabinho,Patric,Ethan Ampadu,Ștefan Radu,Tuta,Ben White,Marco Friedl,Makoto Hasebe,Mason Holgate,Andrea Masiello
Domenico Criscito,FB,Vincent Manceau,Fouad Chafik,Luca Vignali,Thomas Foket,Loris Benito,Johan Mojica,Vincent Le Goff,Jérôme Hergault,Hiroki Sakai,Bartosz Bereszyński
Leonardo Spinazzola,FB,Raphaël Guerreiro,Darko Lazović,Bruno Peres,Yannick Carrasco,Manuel Lazzari,Trent Alexander-Arnold,Cristiano Biraghi,Angeliño,Achraf Hakimi,Jonathan Clauss
Gerard Deulofeu,FW,Wilfried Zaha,Lucas Pérez,Franck Ribéry,João Félix,Romain Hamouma,José Luis Morales,Joaquín Correa,Wissam Ben Yedder,Musa Barrow,Neal Maupay
Andrea Rispoli,FB,Fabio Depaoli,Lorenzo Venuti,Jens Stryger Larsen,Pedro Pereira,Carlos Neva,Mohamed Fares,Jérôme Roussillon,Lorenzo De Silvestri,Peter Pekarík,Iago
Hans Hateboer,FB,Ashley Young,Alessandro Florenzi,Héctor Bellerín,Manuel Lazzari,Darko Lazović,Adam Marušić,Christian Günter,Giovanni Di Lorenzo,Matteo Darmian,Cristiano Biraghi
Luca Pellegrini,FB,Jérôme Roussillon,Cristian Ansaldi,Álex Moreno,Pervis Estupiñán,Tariq Lamptey,Séamus Coleman,José Luis Gayà,Giuseppe Pezzella,Thomas Delaine,Pedro Pereira
Rodrigo Bentancur,MF,Djibril Sow,Remo Freuler,N'Golo Kanté,Kevin Strootman,Ander Herrera,Fred,Maxence Caqueret,Dani Ceballos,Pierre Højbjerg,Milan Badelj
Riccardo Saponara,AM,Jack Grealish,Diego Farias,Adnan Januzaj,Marco Asensio,Angelo Fulgini,Ross Barkley,Piotr Zieliński,Dimitri Payet,Pedro Neto,Florian Thauvin
Edin Džeko,FW,Romelu Lukaku,Zlatan Ibrahimović,André Silva,Andy Delort,Duván Zapata,Michail Antonio,Ciro Immobile,Harry Kane,Robert Lewandowski,Erling Haaland
Thomas Müller,AM,Christopher Nkunku,Daichi Kamada,Marco Reus,Bruno Fernandes,Dani Olmo,Lars Stindl,Pablo Sarabia,Lorenzo Pellegrini,Henrikh Mkhitaryan,Ángel Correa
Pedro,AM,Carles Pérez,James Maddison,Florian Thauvin,Josip Brekalo,Amine Gouiri,Filip Đuričić,Brahim Díaz,Pablo Sarabia,Sadio Mané,Federico Chiesa
Tommaso Augello,FB,Carlos Clerc,Bastian Oczipka,Aarón Martín,Elseid Hysaj,Marvin Plattenhardt,Kenny Lala,Kyle Walker,Noah Katterbach,Riccardo Marchizza,Kieran Tierney
Matteo Ricci,MF,Harry Winks,Thiago Mendes,Jacopo Petriccione,Thomas Mangani,Charles Aránguiz,Leandro Paredes,Jordan Henderson,Boubakary Soumaré,João Moutinho,Sandro Tonali
Gaetano Letizia,FB,Mihailo Ristić,Lucas Olaza,Alejandro Pozo Pozo,Sébastien Corchia,Nacho,Jérôme Hergault,Vincent Le Goff,Phillipp Mwene,Ola Aina,Matthew Lowton
Alessio Romagnoli,CB,Aïssa Mandi,Duje Ćaleta-Car,Loïck Landre,Stefan de Vrij,Paul Baysse,Philipp Lienhart,Maya Yoshida,Matthijs de Ligt,Diego Carlos,Ezri Konsa
Lucas Martínez Quarta,CB,Rafael Tolói,Gianluca Mancini,Armando Izzo,Bryan Cristante,Emre Can,Gleison Bremer,Stefan Posch,Marvin Friedrich,Samir Santos,Jerry St. Juste
Gonzalo Escalante,MF,Mickael Malsa,Geoffrey Kondogbia,Nicolas Höfler,Christoph Kramer,Diadie Samassékou,Boubacar Kamara,Morgan Schneiderlin,Renato Tapia,Maxime Gonalons,Luka Milivojević
