Name,Position,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Rank 9,Rank 10
Maximilian Philipp,AM,Roland Sallai,Robin Quaison,José Luis Morales,Kevin Volland,Portu,João Pedro,Richarlison,Theo Walcott,Pierre-Emerick Aubameyang,Bertrand Traoré
Nemanja Radonjić,AM,Samuel Chukwueze,Riccardo Orsolini,Marcus Rashford,Florian Thauvin,Munir El Haddadi,Harvey Barnes,Sadio Mané,Pedro,Jonathan Ikone,Roland Sallai
Sven Bender,CB,José Fonte,John Brooks,Edmond Tapsoba,Marcelo,Lukas Klostermann,Marquinhos,Diego Godín,Nikola Maksimović,Armando Izzo,Samir Santos
Martin Hinteregger,CB,Willi Orban,Rafael Tolói,Marvin Friedrich,Obite N'Dicka,Mats Hummels,Armando Izzo,Marquinhos,Gleison Bremer,Romain Saïss,Gianluca Mancini
Diadie Samassékou,MF,Harrison Reed,Okay Yokuşlu,Renato Tapia,Douglas Luiz,Nicolas Höfler,Wilfred Ndidi,Luka Milivojević,Christoph Kramer,Tom Davies,Declan Rice
Jonathan Schmid,FB,Daniel Wass,Luke Thomas,Peter Pekarík,Cédric Soares,Oscar Wendt,Jens Stryger Larsen,Mihailo Ristić,Benjamin Mendy,Romain Perraud,Séamus Coleman
Jiří Pavlenka,GK,Baptiste Reynet,Rafał Gikiewicz,Robin Zentner,Benoît Costil,Gregor Kobel,Édgar Badía,Ralf Fährmann,Predrag Rajković,Jaume Doménech,Paul Nardi
Chris Richards,CB,Francesco Acerbi,César Azpilicueta,Fabinho,Alessandro Bastoni,Edmond Tapsoba,Dayot Upamecano,Waldemar Anton,Patric,Marco Friedl,Ethan Ampadu
Benjamin Henrichs,FB,Christopher Lenz,Ezgjan Alioski,Benjamin Pavard,Zeki Çelik,Nordi Mukiele,Renan Lodi,Ben Chilwell,Pervis Estupiñán,Maximilian Mittelstädt,Robin Gosens
Breel Embolo,FW,Moanes Dabour,Ollie Watkins,Ihlas Bebou,Timo Werner,Gabriel Jesus,Roberto Firmino,Álvaro Morata,Lautaro Martínez,Andrea Belotti,Neal Maupay
Sava Cestic,CB,Jesús Vallejo,Djené,Alessandro Tuia,Dara O'Shea,Ivan Radovanović,Jonathan Panzo,Sebastian Walukiewicz,Jeffrey Gouweleeuw,Fikayo Tomori,Sergio Postigo
Dodi Lukebakio,FW,Che Adams,Ondrej Duda,Richarlison,José Luis Morales,Joelinton,Jordan Ayew,Musa Barrow,Lucas Höler,João Pedro,Ángel Correa
Dodi Lukebakio,AM,Yoane Wissa,Gaëtan Laborde,Moses Simon,Kevin Volland,Richarlison,Robin Quaison,João Pedro,Ferrán Torres,Roland Sallai,Pierre-Emerick Aubameyang
Alexander Schwolow,GK,Thomas Strakosha,Predrag Rajković,Mattia Perin,Álvaro Fernández,Pepe Reina,Édgar Badía,Robin Zentner,Jonas Omlin,Benoît Costil,Jessy Moulin
Eric Maxim Choupo-Moting,FW,Gianluca Lapadula,Alexander Isak,Arkadiusz Milik,Alexandre Lacazette,Danny Welbeck,Moise Kean,Felipe Caicedo,Ollie Watkins,Josh Maja,Borja Mayoral
Dominik Kohr,MF,Baptiste Santamaria,Xaver Schlager,Mikel Vesga,Aurélien Tchouaméni,Yangel Herrera,Saúl Ñíguez,Leandro Barreiro Martins,Wataru Endo,Nicolás Domínguez,Imran Louza
Jeffrey Gouweleeuw,CB,Rúben Vezo,Andrea Masiello,Wout Faes,Lyanco,Sergio Postigo,Koffi Djidji,Dominique Heintz,Ben White,Jérémy Morel,Jordan Torunarigha
Alessandro Schöpf,MF,Soualiho Meïté,John Fleck,Marko Rog,Saša Lukić,Douglas Luiz,John Lundstram,Jaime Seoane,Karol Linetty,André Gomes,Mikel Rico
Alessandro Schöpf,AM,Josh Brownhill,Yunus Musah,Pablo Fornals,Dwight McNeil,Moi Gómez,Marc Cucurella,Miguel Almirón,Alexis Saelemaekers,Ruben Loftus-Cheek,Tete Morente
Omar Mascarell,MF,Tomás Pina Isla,Marshall Munetsi,Isaac Hayden,Renato Tapia,Albin Ekdal,Étienne Capoue,Thomas Delaney,Luka Milivojević,Diadie Samassékou,Tom Davies
Davie Selke,FW,Kike,Enes Ünal,Steve Mounié,Jaime Mata,Ángel Rodríguez,Sergi Enrich,Jonathan Calleri,Wout Weghorst,Christian Benteke,Jorge Molina
Jérôme Roussillon,FB,Séamus Coleman,Álex Moreno,Pedro Pereira,George Baldock,José Luis Gayà,Giuseppe Pezzella,Mohamed Fares,Enda Stevens,Lorenzo Venuti,Héctor Bellerín
Christian Groß,CB,Fabinho,Ștefan Radu,Marco Friedl,Domenico Criscito,Patric,Francesco Acerbi,Chris Basham,Ben White,Jonathan Gradit,Edoardo Goldaniga
Christian Groß,MF,Étienne Capoue,Harrison Reed,Tom Davies,Haris Belkebla,Renato Tapia,Paul Lasne,Geoffrey Kondogbia,Maxime Gonalons,Christoph Kramer,Morgan Schneiderlin
Salih Özcan,MF,Josh Brownhill,Tobias Strobl,John Lundstram,Tomás Rincón,Maximilian Eggestein,Artur Ioniță,Grischa Prömel,Douglas Luiz,Përparim Hetemaj,Lukas Lerager
Daichi Kamada,AM,Jack Harrison,Marco Reus,Ángel Correa,Dani Olmo,Thomas Müller,Henrikh Mkhitaryan,Christopher Nkunku,Franck Honorat,Filip Đuričić,Jonas Hofmann
Sasa Kalajdzic,FW,Wout Weghorst,Álvaro Morata,André Silva,Edin Džeko,Ollie Watkins,Kevin Volland,Burak Yılmaz,Patrik Schick,Gerard Moreno,Christian Benteke
Davy Klaassen,MF,Mattias Svanberg,Elvis Rexhbeçaj,Nolito,Gylfi Sigurðsson,Brais Méndez,Roberto Gagliardini,Marcos Llorente,Giulio Maggiore,Antonín Barák,Suat Serdar
Hwang Hee-chan,FW,Randal Kolo Muani,Breel Embolo,Ángel Correa,Richarlison,Lucas Höler,Neal Maupay,Jonathan David,Danny Ings,Ihlas Bebou,Ollie Watkins
Mijat Gaćinović,FB,Ridle Baku,Yannick Carrasco,Nahuel Molina,Silas Wamangituka,Filip Kostić,Achraf Hakimi,Erik Durm,Angeliño,Marius Wolf,Robin Gosens
Mijat Gaćinović,MF,Nolito,Gylfi Sigurðsson,Gaetano Castrovilli,Marcos Llorente,Jude Bellingham,Mattias Svanberg,Sergej Milinković-Savić,Miha Zajc,Giacomo Bonaventura,Lorenzo Pellegrini
Mijat Gaćinović,AM,Ridle Baku,Jean-Paul Boëtius,Renato Steffen,Pablo Fornals,Alexis Saelemaekers,Rubén García,Óscar Plano,Niclas Eliasson,Antonín Barák,Marc Cucurella
Rafał Gikiewicz,GK,Édgar Badía,Jiří Pavlenka,Baptiste Reynet,Stefan Ortega,Predrag Rajković,Kevin Trapp,Sam Johnstone,Ralf Fährmann,Florian Müller,Robin Zentner
Tobias Strobl,MF,Jack Cork,Tomás Pina Isla,Jens Jønsson,Josh Brownhill,Yannick Cahuzac,Rani Khedira,Nemanja Maksimović,Tom Davies,Artur Ioniță,Ibrahima Sissoko
Krzysztof Piątek,FW,Santi Mina,Eldor Shomurodov,Simeon Nwankwo,Antonio Sanabria,Roberto Soldado,Luuk de Jong,M'Bala Nzola,Sebastian Andersson,Chris Wood,Habib Diallo
João Victor Santos Sá,AM,Mikkel Damsgaard,Jorge de Frutos,Jean-Paul Boëtius,Ayoze Pérez,Gelson Martins,Aitor Ruibal,Alexis Saelemaekers,Julian Brandt,Nathan Redmond,Ritsu Doan
Bouna Sarr,FB,Kyle Walker,Giorgos Kiriakopoulos,Yuri Berchiche,Ronaël Pierre-Gabriel,Nélson Semedo,Daley Sinkgraven,Oleksandr Zinchenko,Benjamin Mendy,Hassane Kamara,Lucas Hernández
Jean-Manuel Mbom,MF,Përparim Hetemaj,Oier Sanjurjo,Sergio Álvarez,Albin Ekdal,Nemanja Maksimović,Isaac Hayden,Douglas Luiz,Artur Ioniță,Yan Brice Eteki,Josh Brownhill
Alex Morgan,FW,Valérie Gauvin,Danielle Carter,Lee Geum-min,Abigail Harrison,Jane Ross,Rianna Jarrett,Lauren Bruton,Emma Harries,Rachel Williams,Shania Hayles
Elvis Rexhbeçaj,MF,Gylfi Sigurðsson,Marcos Llorente,Davy Klaassen,Nolito,Hernani,Giulio Maggiore,Gaetano Castrovilli,Brais Méndez,Danny Latza,Suat Serdar
Elvis Rexhbeçaj,AM,Óscar Plano,Daniel Caligiuri,Renaud Ripart,Marc Cucurella,Miguel Almirón,Niclas Eliasson,Kenedy,Jean-Paul Boëtius,Andros Townsend,Allan Nyom
Matthew Hoppe,FW,Santi Mina,Krzysztof Piątek,Moussa Koné,Stefano Okaka,Antonio Sanabria,Shon Weissman,Lucas Boyé,Josh Sargent,Giovanni Simeone,Roberto Soldado
Paulo Otávio,FB,Maximilian Mittelstädt,Kevin Mbabu,Christopher Lenz,Fabien Centonze,Stefan Lainer,Kingsley Ehizibue,Thierry Correia,Fábio,Matthieu Udol,Sacha Boey
Kevin Vogt,CB,Patric,Jérôme Boateng,Jonathan Gradit,Ștefan Radu,Aleksandar Dragović,Dominique Heintz,Robson Bambu,Joe Gomez,Makoto Hasebe,Presnel Kimpembe
Robert Gumny,FB,Ximo Navarro,Iago,Peter Pekarík,Ola Aina,Yuto Nagatomo,Nacho Vidal,Lorenzo De Silvestri,Isaac Carcelen,Carlos Neva,Theodor Gebre Selassie
Ralf Fährmann,GK,Baptiste Reynet,Kevin Trapp,Timo Horn,Paul Nardi,Rafał Gikiewicz,Alex Cordaz,Jiří Pavlenka,Édgar Badía,Gregor Kobel,Gautier Larsonneur
Theo Walcott,AM,Bobby Reid,Nathanael Mbuku,Édgar Méndez,Moses Simon,Jakub Jankto,Jarrod Bowen,Takashi Inui,Antonio Puertas,Dodi Lukebakio,Portu
Erling Haaland,FW,André Silva,Burak Yılmaz,Jamie Vardy,Romelu Lukaku,Patrik Schick,Duván Zapata,Edin Džeko,Luis Suárez,Terem Moffi,Robert Lewandowski
Melayro Bogarde,CB,Bryan Cristante,Emre Can,Marcel Halstenberg,David Alaba,César Azpilicueta,Stefan Posch,Alessandro Bastoni,Rafael Tolói,Dayot Upamecano,Fabinho
Willi Orban,CB,Mats Hummels,Martin Hinteregger,Marquinhos,Sergio Ramos,Niklas Süle,Jules Koundé,Marcel Halstenberg,John Brooks,Obite N'Dicka,Gianluca Mancini
Romano Schmid,AM,Jean-Paul Boëtius,Andros Townsend,Marc Cucurella,Daniel Caligiuri,Pablo Fornals,Alexis Saelemaekers,Renaud Ripart,Mikkel Damsgaard,Óscar Plano,Ridle Baku
Amin Younes,AM,Yannick Carrasco,Takefusa Kubo,Ayoze Pérez,Matheus Cunha,Vinicius Júnior,Ángel Di María,Josip Brekalo,Ademola Lookman,Leandro Trossard,Leroy Sané
Sargis Adamyan,AM,Timo Werner,Ante Rebić,Sadio Mané,Leon Bailey,Karl Toko Ekambi,Tino Kadewere,Kevin Volland,Phil Foden,Hirving Lozano,Leroy Sané
Sergio Córdova,FW,Josh Sargent,Eldor Shomurodov,Richarlison,Lucas Höler,Santi Mina,Sergi Guardiola,Joelinton,Oliver McBurnie,Krzysztof Piątek,Jay Rodriguez
Sergio Córdova,AM,Robin Quaison,Richarlison,Roland Sallai,Édgar Méndez,João Pedro,Portu,Trézéguet,Gaëtan Laborde,Yoane Wissa,Dodi Lukebakio
Nicolás González,FW,Harry Kane,Michail Antonio,Andrea Belotti,Edin Džeko,Gerard Moreno,Lautaro Martínez,Duván Zapata,Erling Haaland,Andy Delort,Aleksandar Mitrović
Manuel Gulde,CB,Loïck Landre,Romain Thomas,Daniel Congré,Raphaël Varane,Óscar Duarte,Jeison Murillo,Philipp Lienhart,Mouctar Diakhaby,Dani Calvo,Stefan Mitrović
Mike van der Hoorn,CB,Eric Dier,Óscar Duarte,Stefan Savić,Joakim Nilsson,Erick Cabaco,Conor Coady,Davinson Sánchez,Bruno Alves,Matija Nastasić,Germán Sánchez
Marcus Ingvartsen,MF,Juraj Kucka,Giacomo Bonaventura,Gaetano Castrovilli,Gylfi Sigurðsson,Antonín Barák,Brais Méndez,Giulio Maggiore,Mikel Rico,Davy Klaassen,Elvis Rexhbeçaj
Marcus Ingvartsen,AM,Óscar Plano,Jóhann Berg Guðmundsson,Antonio Puertas,Renaud Ripart,Bobby Reid,Luis Rioja,Édgar Méndez,Niclas Eliasson,Remi Oudin,Allan Nyom
Maxence Lacroix,CB,Roger Ibanez,Éder Militão,Jerry St. Juste,Gleison Bremer,Amos Pieper,John Brooks,Marc-Oliver Kempf,Obite N'Dicka,Konstantinos Mavropanos,Rafael Czichos
Rune Jarstein,GK,Karl Darlow,Jeremías Ledesma,Jaume Doménech,Iván Villar,Benoît Costil,Robin Zentner,Vicente Guaita,Jiří Pavlenka,Lorenzo Montipò,Andrés Fernández
Jonas Hofmann,MF,Lorenzo Pellegrini,Florian Wirtz,Marcos Llorente,Nolito,Gylfi Sigurðsson,Christoph Baumgartner,Mason Mount,Benjamin Bourigeaud,Pedri,Giacomo Bonaventura
Jonas Hofmann,AM,Lorenzo Pellegrini,Vincenzo Grifo,Daichi Kamada,Renato Steffen,Ridle Baku,Thorgan Hazard,Alexis Saelemaekers,Jack Harrison,Matheus Pereira,Lars Stindl
Lukas Kübler,FB,Joel Ward,Alfonso Espino,Cédric Brunner,Anderson Lucoqui,Isaac Carcelen,Aihen Muñoz,Yuto Nagatomo,Dimitri Foulquier,Raphael Framberger,Charles Traore
Marin Pongračić,CB,Ömer Toprak,Rafael Czichos,Senou Coulibaly,Lyanco,Nicolas Pallois,Jonathan Panzo,Marc-Oliver Kempf,Koffi Djidji,Claudio Terzi,Fikayo Tomori
Tyler Adams,FB,Wendell,Hassane Kamara,Andrea Conti,Thierry Correia,Davide Calabria,Aaron Wan-Bissaka,Mitchel Bakker,Birger Meling,James Justin,Ander Capa
Tyler Adams,MF,Albin Ekdal,Christoph Kramer,Oriol Romeu,Pape Gueye,Khéphren Thuram-Ulie,Charles Aránguiz,Morgan Schneiderlin,Pierre Højbjerg,Koke,Ander Guevara
Leroy Sané,AM,Kingsley Coman,Serge Gnabry,Ángel Di María,Henrikh Mkhitaryan,Christian Pulisic,Phil Foden,Ousmane Dembélé,Leon Bailey,Christopher Nkunku,Dejan Kulusevski
Mateo Klimowicz,FW,Richarlison,Neal Maupay,Joelinton,Junior Messias,Wilfried Zaha,Jordan Ayew,David McGoldrick,Jay Rodriguez,Ondrej Duda,Romain Hamouma
Mateo Klimowicz,AM,Eric Junior Dina Ebimbe,Richarlison,Robin Quaison,Theo Walcott,Roland Sallai,Daniel Podence,Dodi Lukebakio,Ferrán Torres,Rony Lopes,Jonathan Ikone
Jannes Horn,CB,Ștefan Radu,Marco Friedl,Patric,Edoardo Goldaniga,Moussa Niakhate,Domenico Criscito,Alessandro Bastoni,Francesco Acerbi,Ben White,Fabinho
Jannes Horn,FB,Ben Davies,Loris Benito,Mikel Balenziaga,Noah Katterbach,Aihen Muñoz,Charlie Taylor,Rafa Soares,Federico Barba,Antonio Barragán,Dimitri Foulquier
Jamal Musiala,AM,Ayoze Pérez,Vinicius Júnior,Sofiane Diop,Gelson Martins,Ludovic Blas,Brahim Díaz,Luiz Araújo,Matheus Cunha,Mason Mount,Álex Berenguer
Emmanuel Dennis,FW,Ángel Correa,Romain Hamouma,Yussuf Poulsen,Breel Embolo,Franck Ribéry,Wissam Ben Yedder,Ihlas Bebou,Wilfried Zaha,Ondrej Duda,Jordan Ayew
Ozan Kabak,CB,Ohis Felix Uduokhai,Julian Chabot,Yunis Abdelhamid,Kevin Bonifazi,Diego Godín,Federico Ceccherini,Wesley Fofana,Amos Pieper,Keven Schlotterbeck,Rob Holding
Jérôme Boateng,CB,Kevin Vogt,Fabinho,Aleksandar Dragović,Clément Lenglet,Ștefan Radu,Patric,Stefan de Vrij,Andreas Christensen,Paul Baysse,Jonathan Gradit
Marwin Hitz,GK,Andreas Luthe,Steve Mandanda,Roman Bürki,Alfred Gomis,Jessy Moulin,Kasper Schmeichel,David de Gea,Andrés Fernández,Gianluigi Donnarumma,Thomas Strakosha
Aarón Martín,FB,Dimitri Foulquier,George Baldock,Marvin Plattenhardt,Bastian Oczipka,Tommaso Augello,Thomas Foket,Mitchell Dijks,Aihen Muñoz,Riccardo Marchizza,Jérôme Roussillon
Phillipp Mwene,FB,Alfonso Espino,Tyrick Mitchell,Matty Cash,Jamal Lewis,Raphael Framberger,Dennis Appiah,Damián Suárez,Dimitri Foulquier,Sofiane Alakouch,Sébastien Corchia
Philipp Lienhart,CB,Loïck Landre,Marcos Mauro López Gutiérrez,Manuel Gulde,Luca Caldirola,Aïssa Mandi,Raphaël Varane,Alessio Romagnoli,Dedryck Boyata,Jorge Pulido,Óscar Duarte
Angeliño,FB,Federico Dimarco,Jonathan Clauss,Trent Alexander-Arnold,Filip Kostić,Darko Lazović,Achraf Hakimi,Raphaël Guerreiro,Ridle Baku,Robin Gosens,Yannick Carrasco
Mitchell Weiser,FB,Hassane Kamara,Mert Müldür,Nélson Semedo,Giorgos Kiriakopoulos,Zeki Çelik,Thomas Meunier,James Justin,Benjamin Mendy,Davide Calabria,Rubén Peña
Nabil Bentaleb,MF,Haris Belkebla,Valon Behrami,Sergio Álvarez,Paul Lasne,Allan,Carlos Gruezo,Unai Vencedor Paris,Romaine Sawyers,Yan Brice Eteki,Fede San Emeterio
Rabbi Matondo,AM,Takashi Inui,Yunus Musah,Nathanael Mbuku,Édgar Méndez,Bobby Reid,Robin Quaison,Theo Walcott,Luis Rioja,Tete Morente,Eric Junior Dina Ebimbe
Karim Rekik,FB,Lorenzo De Silvestri,Peter Pekarík,Dan Burn,Hugo Mallo,Bartosz Bereszyński,Takehiro Tomiyasu,Enda Stevens,Ben Davies,Jordan Lotomba,George Baldock
Danny Latza,MF,Xaver Schlager,Baptiste Santamaria,Yangel Herrera,Hernani,Habib Maïga,Mauro Arambarri,Conor Gallagher,Mikel Vesga,Leandro Barreiro Martins,Dominik Kohr
Javairô Dilrosun,AM,Nathanael Mbuku,Aitor Ruibal,Eric Junior Dina Ebimbe,Miguel Almirón,Alexis Saelemaekers,Samu Castillejo,Pablo Fornals,Bobby Reid,Ritsu Doan,Daniel James
Tony Jantschke,CB,Kalidou Koulibaly,Luiz Felipe,Marlon,Lyanco,Facundo Medina,Fikayo Tomori,Nikola Maksimović,Niklas Moisander,Wesley Hoedt,Edmond Tapsoba
Nico Schlotterbeck,CB,Armando Izzo,Rafael Tolói,Martin Hinteregger,Mats Hummels,Niklas Süle,Gianluca Mancini,Konstantinos Mavropanos,Wesley Fofana,Gleison Bremer,Berat Djimsiti
Anthony Modeste,FW,Rafa Mir,Sebastian Andersson,Ante Budimir,Leonardo Pavoletti,Maxi Gómez,Asier Villalibre,Roberto Soldado,Borja Iglesias,Dominic Calvert-Lewin,Nikola Kalinić
Tuta,CB,Ethan Ampadu,Domenico Criscito,Steven Fortes,Kalidou Koulibaly,Dominique Heintz,Ben White,Loïc Bade,Edmond Tapsoba,Jordan Torunarigha,Koffi Djidji
Marco Reus,AM,Pablo Sarabia,Christopher Nkunku,Daichi Kamada,Filip Đuričić,Ángel Correa,Lars Stindl,Henrikh Mkhitaryan,Thomas Müller,Rodrygo,Thorgan Hazard
Florian Neuhaus,MF,Joshua Kimmich,Luka Modrić,Curtis Jones,Marcel Sabitzer,Federico Valverde,Seko Fofana,Youri Tielemans,Nicolò Barella,Fabián Ruiz Peña,Jordan Veretout
Ramy Bensebaini,FB,Mathieu Debuchy,Diogo Dalot,Hugo Mallo,Dan Burn,Serge Aurier,Theodor Gebre Selassie,Charalambos Lykogiannis,Layvin Kurzawa,Fabien Centonze,Mario Gaspar
Dennis Geiger,MF,Răzvan Marin,Mateusz Klich,Manu Trigueros,Nicolò Barella,Nadiem Amiri,Óliver Torres,Pascal Groß,Valon Berisha,Daniel Parejo,Mason Mount
Denis Zakaria,MF,Adrien Tameze,Mahdi Camara,Lassana Coulibaly,Tomás Rincón,Tom Davies,Declan Rice,Nicolas Höfler,Okay Yokuşlu,Axel Witsel,Moussa Sissoko
Sead Kolašinac,CB,Bryan Cristante,Francesco Acerbi,Alessandro Bastoni,David Alaba,Edoardo Goldaniga,Ștefan Radu,Martín Cáceres,Rafael Tolói,Emre Can,Berat Djimsiti
Sead Kolašinac,FB,Riccardo Marchizza,Adam Marušić,Ola Aina,Hassane Kamara,Rick Karsdorp,Jordan Lotomba,Souleyman Doumbia,Youssouf Sabaly,George Baldock,Rogério
Leon Bailey,AM,Marcus Rashford,Karl Toko Ekambi,Kylian Mbappé,Amine Gouiri,Moussa Diaby,Leroy Sané,Kingsley Coman,Phil Foden,Raheem Sterling,Sadio Mané
Edimilson Fernandes,MF,Grischa Prömel,Jonjo Shelvey,Mauro Arambarri,Lucas Tousart,Josh Brownhill,Nemanja Maksimović,Lucas Torró,Adrien Tameze,Maximilian Eggestein,Rolando Mandragora
Cebio Soukou,AM,Édgar Méndez,Bobby Reid,Miguel Almirón,Yunus Musah,Nathanael Mbuku,Eric Junior Dina Ebimbe,Renaud Ripart,Robin Quaison,Óscar Plano,Theo Walcott
Thomas Müller,AM,Christopher Nkunku,Daichi Kamada,Marco Reus,Bruno Fernandes,Dani Olmo,Lars Stindl,Pablo Sarabia,Lorenzo Pellegrini,Henrikh Mkhitaryan,Ángel Correa
Timo Horn,GK,Luigi Sepe,Ralf Fährmann,Kevin Trapp,Baptiste Reynet,Alex Cordaz,Ivan Provedel,Álvaro Fernández,Yann Sommer,Aitor Fernández,Lorenzo Montipò
Vladimír Darida,MF,Marcos Llorente,Edu Expósito,Jude Bellingham,Nahitan Nández,Pascal Groß,Danny Latza,Gylfi Sigurðsson,Nahuel Estévez,Sebastian Rudy,Miha Zajc
Vladimír Darida,AM,Jean-Paul Boëtius,Ridle Baku,Rubén García,Daniel Caligiuri,Marc Cucurella,Mikkel Damsgaard,Renato Steffen,Rubén Rochina,Jonas Hofmann,Dwight McNeil
André Silva,FW,Romelu Lukaku,Robert Lewandowski,Erling Haaland,Ciro Immobile,Edin Džeko,Duván Zapata,Borja Mayoral,Luis Suárez,Michail Antonio,Zlatan Ibrahimović
Shkodran Mustafi,CB,Adam Webster,Dimitris Siovas,John Brooks,Óscar Duarte,Yerry Mina,David García,Kurt Zouma,Gabriel Dos Santos,Omar Colley,Nathaniel Phillips
Theodor Gebre Selassie,FB,Iago,Dan Burn,Kingsley Ehizibue,Juan Miranda,Enda Stevens,Thierry Correia,Mario Gaspar,Ramy Bensebaini,Nacho Vidal,Luke Thomas
Márton Dárdai,CB,Jonathan Gradit,Ștefan Radu,Kevin Vogt,Andrea Masiello,Dominique Heintz,Jack Stephens,Marco Friedl,Domenico Criscito,Sebastiano Luperto,Sergio Postigo
Yann Sommer,GK,Álvaro Fernández,Pepe Reina,Mathew Ryan,Thomas Strakosha,Andrea Consigli,Timo Horn,Steve Mandanda,Walter Benítez,Oliver Baumann,Alex Meret
Christoph Baumgartner,MF,Antonín Barák,Marcos Llorente,Lorenzo Pellegrini,Florian Wirtz,Lucas Paquetá,Nolito,Alexis Claude-Maurice,Gaetano Castrovilli,Weston McKennie,Sergej Milinković-Savić
Christoph Baumgartner,AM,Álex Berenguer,Nicola Sansone,Hamed Junior Traorè,Sofiane Diop,Denis Bouanga,Renato Steffen,Gareth Bale,Jack Harrison,Dani Olmo,Marcus Thuram
Obite N'Dicka,CB,Marvin Friedrich,Gianluca Mancini,Takehiro Tomiyasu,Maxence Lacroix,Martin Hinteregger,Marc-Oliver Kempf,Roger Ibanez,Vlad Chiricheș,Armando Izzo,Marquinhos
Ridle Baku,FB,Nahuel Molina,Jonathan Clauss,Filip Kostić,Yannick Carrasco,Angeliño,Achraf Hakimi,Silas Wamangituka,Robin Gosens,Alfonso Pedraza,Marius Wolf
